ítem,Norte,Este,Muestra,De,Hasta,potencia,Vs(m/s),Nspt,(N1)60,SUCS,LL%,LP,IP%,W%,ø°,C(Kg/cm2),densidadhúmeda(gr/cm3),densidadseca(gr/cm3),Qadm.(kg/cm2),Qult.(kg/cm2),TipodeSuelo,SST(ppm),SO4(ppm),CL(ppm),pH(ppm),Colapso,Gravas,Arenas,Finos,colegio,Vs (m/s),LL %,IP %,ø °,C (Kg/cm2),Densidad húmeda (gr/cm3),Densidad seca (gr/cm3),Qadm. (kg/cm2),Qult. (kg/cm2),Tipo de Suelo,SST (ppm),SO4 (ppm),CL (ppm),pH (ppm),?húmeda(gr/cm3),?seca(gr/cm3),? húmeda (gr/cm3),? seca (gr/cm3),profundidad_media
SPT-1,9457280.0,535017.0,M-1,0.0,1.0,1.0,,16.0,20.4,CL,40.4,24.0,16.4,20.8,,,,,1.73,3.05,S1,,,,,,0.0,15.8,84.2,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,0.5
SPT-1,9457280.0,535017.0,M-2,1.0,2.0,1.0,,14.0,17.85,CL,35.5,21.5,14.0,20.3,,,,,1.52,3.15,S1,,,,,,1.1,30.0,68.9,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,1.5
SPT-1,9457280.0,535017.0,M-3,2.0,3.0,1.0,,50.0,59.74,SC,30.3,20.0,10.3,22.2,,,,,5.07,2.78,S1,,,,,,5.0,47.5,47.5,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,2.5
SPT-1,9457280.0,535017.0,M-4,3.0,3.3,0.3,,30.0,33.38,GC,32.6,22.4,10.2,11.9,,,,,2.83,4.39,S1,,,,,,47.6,28.0,14.4,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,3.15
SPT-2,9457272.0,535033.0,M-1,0.0,1.0,1.0,,13.0,16.58,SC,34.2,20.7,13.5,10.2,,,,,1.41,2.74,S1,,,,,,0.0,67.9,32.1,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,0.5
SPT-2,9457272.0,535033.0,M-2,1.0,2.0,1.0,,27.0,34.43,SC,29.6,21.5,8.1,9.6,,,,,2.92,,S1,,,,,,9.9,63.7,26.4,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,1.5
SPT-2,9457272.0,535033.0,M-3,2.0,3.0,1.0,,45.0,53.77,SC,29.9,20.4,9.5,108.0,,,,,4.57,,S1,,,,,,29.3,31.7,39.0,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,2.5
SPT-2,9457272.0,535033.0,M-4,3.0,4.0,1.0,,40.0,44.5,SC,28.5,20.6,7.9,9.7,,,,,3.78,,S1,,,,,,38.0,42.6,19.4,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,3.5
SPT-2,9457272.0,535033.0,M-5,4.0,4.85,0.85,,70.0,74.37,GC,27.0,19.7,7.3,11.2,,,,,6.32,,S1,,,,,,57.0,27.4,15.6,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,4.425
SPT-03,9457274.0,535018.0,M-0,0.0,1.0,1.0,,,,,,,,,,,,,,,S1,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,0.5
SPT-03,9457274.0,535018.0,M-1,1.0,2.0,1.0,,21.0,24.0,SM,23.09,10.9,12.19,12.64,,,,,2.07,,S1,,,,,,0.0,79.8,20.2,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,1.5
SPT-03,9457274.0,535018.0,M-2,2.0,3.0,1.0,,27.0,28.0,SM,,,,16.88,,,,,2.36,,S1,,,,,,0.0,52.52,47.48,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,2.5
SPT-03,9457274.0,535018.0,M-3,3.0,4.0,1.0,,67.0,68.0,SM,18.21,15.27,2.94,12.24,,,,,,,S1,,,,,,0.0,55.34,44.66,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,3.5
SPT-03,9457274.0,535018.0,M-4,4.0,5.0,1.0,,82.0,84.0,SM,,,,10.59,,,,,,,S1,2271.0,1757.0,473.0,7.28,,0.0,71.69,28.31,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,4.5
SPT-03,9457274.0,535018.0,M-5,5.0,6.0,1.0,,100.0,102.0,GM,,,,10.45,,,,,,,S1,1587.0,1235.0,502.0,7.18,,43.4,42.69,13.91,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,5.5
SPT-04,9457270.0,535000.0,M-0,0.0,1.0,1.0,,,,SM,,,,,,,,,,,S1,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,0.5
SPT-04,9457270.0,535000.0,M-1,1.0,2.0,1.0,,24.0,28.0,SM,15.62,5.32,10.3,10.59,,,,,2.07,,S1,,,,,,0.0,57.19,42.81,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,1.5
SPT-04,9457270.0,535000.0,M-2,2.0,3.0,1.0,,54.0,56.0,SM,,,,20.22,,,,,,,S1,,,,,,0.0,69.61,30.39,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,2.5
SPT-04,9457270.0,535000.0,M-3,3.0,4.0,1.0,,100.0,100.0,SM,12.45,11.33,1.12,13.04,,,,,,,S1,1161.0,1230.0,534.0,7.66,,0.0,81.17,18.83,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,3.5
SPT-04,9457270.0,535000.0,M-4,4.0,5.0,1.0,,100.0,101.0,GM,,,,7.27,,,,,,,S1,1227.0,1366.0,621.0,7.69,,49.06,37.62,13.31,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,4.5
C-1,9457288.16,535037.97,M-1,0.0,3.0,3.0,,,,SC,32.8,19.7,13.1,17.0,28.19,0.02,1.638,1.548,,,S1,2676.0,1247.0,660.0,,Leve,0.0,51.1,48.9,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,1.5
C-1,9457288.16,535037.97,M-2,3.0,5.0,2.0,,,,GP,,,,8.7,,,,,,,S1,,,,,Leve,78.8,18.2,3.0,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,4.0
C-2,9457282.05,534973.3,M-1,0.0,2.5,2.5,,,,SP-SM,,,,1.6,,,2.024,1.807,,,S1,,,,,,1.0,90.0,9.0,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,1.25
C-2,9457282.05,534973.3,M-2,2.5,2.9,0.4,,,,SM,,,,6.3,,,,,,,S1,,,,,,31.7,47.9,20.4,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,2.7
C-2,9457282.05,534973.3,M-3,2.9,5.0,2.1,,,,GW-GM,,,,5.2,,,,,,,S1,,,,,,64.5,28.1,7.1,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,3.95
C-3,9457263.62,534988.69,M-1,0.0,1.1,1.1,,,,SP-SM,,,,4.0,,,,,,,S1,,,,,,27.9,62.9,9.2,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,0.55
C-3,9457263.62,534988.69,M-2,1.1,3.0,1.9,,,,GP-GM,,,,3.3,,,,,,,S1,,,,,,47.8,43.4,8.8,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,2.05
C-3,9457263.62,534988.69,M-3,3.0,4.1,1.1,,,,SM,,,,11.2,,,,,,,S1,4704.0,1309.0,660.0,,,19.8,55.5,24.7,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,3.55
C-4,9457248.28,534973.28,M-1,0.0,3.0,3.0,,,,SP-SM,,,,4.6,,,,,,,S1,,,,,Leve,0.5,92.8,6.7,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,1.5
C-4,9457248.28,534973.28,M-2,3.0,3.5,0.5,,,,GP-GM,,,,5.9,32.41,0.0,1.664,1.57,,,S1,417.0,206.0,100.0,,Leve,64.1,28.6,7.3,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,3.25
C-5,9457248.24,535044.12,M-1,0.0,1.6,1.6,,,,SC,43.2,20.1,23.1,14.9,,,1.937,1.625,,,S1,,,,,,1.4,58.5,40.1,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,0.8
C-5,9457248.24,535044.12,M-2,1.6,2.0,0.4,,,,SM,33.8,25.0,8.8,18.0,,,,,,,S1,,,,,,2.8,59.0,38.2,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,1.8
C-5,9457248.24,535044.12,M-3,2.0,2.5,0.5,,,,SP-SM,,,,4.7,,,,,,,S1,,,,,,0.8,93.4,5.8,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,2.25
C-5,9457248.24,535044.12,M-4,2.5,3.0,0.5,,,,SP-SM,,,,10.6,,,,,,,S1,,,,,,28.8,61.2,10.0,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,2.75
C-5,9457248.24,535044.12,M-5,3.0,5.0,2.0,,,,GC,33.4,18.8,14.6,5.6,,,,,,,S1,,,,,,61.2,25.1,13.7,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,4.0
C-6,9457257.46,535025.64,M-1,0.0,1.3,1.3,,,,SM,,,,5.8,,,,,,,S1,,,,,,3.9,78.3,17.8,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,0.65
C-6,9457257.46,535025.64,M-2,1.3,2.7,1.4,,,,SC,32.8,17.9,14.9,15.0,,,,,,,S1,,,,,,0.0,60.6,39.4,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,2.0
C-6,9457257.46,535025.64,M-3,2.7,4.0,1.3,,,,GP-GM,,,,5.8,,,,,,,S1,,,,,,70.4,23.9,5.7,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,3.35
C-6,9457257.46,535025.64,M-4,4.0,4.4,0.4,,,,GP-GM,,,,7.9,,,,,,,S1,15768.0,7312.0,2860.0,,,58.7,35.4,5.9,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,4.2
MW-1,9457249.505,535009.138,M-1,0.0,1.071,1.071,478.109986,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,0.5355
MW-1,9457249.505,535009.138,M-2,1.071,2.307,1.236,444.718003,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,1.689
MW-1,9457249.505,535009.138,M-3,2.307,3.708,1.401,410.288006,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,3.0075000000000003
MW-1,9457249.505,535009.138,M-4,3.708,5.274,1.566,552.233994,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,4.491
MW-1,9457249.505,535009.138,M-5,5.274,7.005,1.731,734.323978,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,6.1395
MW-1,9457249.505,535009.138,M-6,7.005,8.901,1.896,853.105009,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,7.952999999999999
MW-1,9457249.505,535009.138,M-7,8.901,10.961,2.06,893.929005,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,9.931000000000001
MW-1,9457249.505,535009.138,M-8,10.961,13.186,2.225,893.899024,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,12.0735
MW-1,9457249.505,535009.138,M-9,13.186,15.576,2.39,881.155014,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,14.381
MW-1,9457249.505,535009.138,M-10,15.576,18.131001,2.555001,875.69201,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,16.853500500000003
MW-1,9457249.505,535009.138,M-11,18.131001,20.851001,2.72,869.16101,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,19.491001
MW-1,9457249.505,535009.138,M-12,20.851001,23.736002,2.885001,882.889986,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,22.293501499999998
MW-1,9457249.505,535009.138,M-13,23.736002,26.785001,3.048999,885.469973,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,25.2605015
MW-1,9457249.505,535009.138,M-14,26.785001,36.428001,9.643,917.568028,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,31.606501
MW-2,9457274.973,535004.1299,M-1,0.0,1.071429,1.071429,588.752927,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,0.5357145
MW-2,9457274.973,535004.1299,M-2,1.071429,2.307693,1.236264,571.663917,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,1.6895609999999999
MW-2,9457274.973,535004.1299,M-3,2.307693,3.708791,1.401098,544.362661,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,3.008242
MW-2,9457274.973,535004.1299,M-4,3.708791,5.274726,1.565935,608.092371,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,4.4917585
MW-2,9457274.973,535004.1299,M-5,5.274726,7.005495,1.730769,728.791264,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,6.1401105000000005
MW-2,9457274.973,535004.1299,M-6,7.005495,8.9011,1.895605,807.120933,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,7.9532975
MW-2,9457274.973,535004.1299,M-7,8.9011,10.961539,2.060439,828.137398,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,9.9313195
MW-2,9457274.973,535004.1299,M-8,10.961539,13.186814,2.225275,823.583756,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,12.0741765
MW-2,9457274.973,535004.1299,M-9,13.186814,15.576924,2.39011,820.757169,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,14.381869
MW-2,9457274.973,535004.1299,M-10,15.576924,18.131869,2.554945,842.539822,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,16.8543965
MW-2,9457274.973,535004.1299,M-11,18.131869,20.851649,2.71978,867.945422,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,19.491759
MW-2,9457274.973,535004.1299,M-12,20.851649,23.736265,2.884616,877.477447,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,22.293957
MW-2,9457274.973,535004.1299,M-13,23.736265,26.785715,3.04945,919.595568,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,25.26099
MW-2,9457274.973,535004.1299,M-14,26.785715,36.428571,9.642856,954.886412,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,31.607143
SPT-1,9420840.0,612040.0,M-1,0.0,8.0,8.0,,100.0,100.0,GC,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,,,,,,,,,,S1,,,,,,,,,4.0
C-1,9420810.0,612032.0,M-1,0.0,0.8,0.8,,,,GC,,12.9,,7.0,,,,,,,,,,,,,59.4,19.0,21.6,10. LOCAL ESCOLAR 14641-Morropon,,29.6,16.7,29.72,0.06,1.73,1.613,,,S1,333.0,160.0,70.0,,,,,,0.4
C-2,9420840.0,612041.0,M-1,0.0,0.65,0.65,,,,GC,,13.1,,10.4,,,,,,,,,,,,,57.8,20.7,21.5,10. LOCAL ESCOLAR 14641-Morropon,,30.3,17.2,,,1.725,1.593,151.33,,S1,,,,,,,,,0.325
C-3,9420882.0,612010.0,M-1,0.0,1.0,1.0,,,,GC,,14.6,,7.2,,,,,,,,,,,,,53.4,18.8,27.8,10. LOCAL ESCOLAR 14641-Morropon,,32.0,17.4,29.64,0.06,1.725,1.587,36.45,12.15,S1,408.0,226.0,120.0,,,,,,0.5
MW-1,9420855.308,612028.5418,M-1,0.0,1.071429,1.071429,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,400.495693,,,,,,,,,,,,,,,,,,0.5357145
MW-1,9420855.308,612028.5418,M-2,1.071429,2.307693,1.236264,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,379.237349,,,,,,,,,,,,,,,,,,1.6895609999999999
MW-1,9420855.308,612028.5418,M-3,2.307693,3.708791,1.401098,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,359.712437,,,,,,,,,,,,,,,,,,3.008242
MW-1,9420855.308,612028.5418,M-4,3.708791,5.274726,1.565935,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,442.359739,,,,,,,,,,,,,,,,,,4.4917585
MW-1,9420855.308,612028.5418,M-5,5.274726,7.005495,1.730769,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,549.095068,,,,,,,,,,,,,,,,,,6.1401105000000005
MW-1,9420855.308,612028.5418,M-6,7.005495,8.9011,1.895605,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,648.576287,,,,,,,,,,,,,,,,,,7.9532975
MW-1,9420855.308,612028.5418,M-7,8.9011,10.961539,2.060439,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,672.776738,,,,,,,,,,,,,,,,,,9.9313195
MW-1,9420855.308,612028.5418,M-8,10.961539,13.186814,2.225275,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,665.915569,,,,,,,,,,,,,,,,,,12.0741765
MW-1,9420855.308,612028.5418,M-9,13.186814,15.576924,2.39011,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,650.346946,,,,,,,,,,,,,,,,,,14.381869
MW-1,9420855.308,612028.5418,M-10,15.576924,18.131869,2.554945,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,633.876262,,,,,,,,,,,,,,,,,,16.8543965
MW-1,9420855.308,612028.5418,M-11,18.131869,20.851649,2.71978,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,621.189522,,,,,,,,,,,,,,,,,,19.491759
MW-1,9420855.308,612028.5418,M-12,20.851649,23.736265,2.884616,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,623.636052,,,,,,,,,,,,,,,,,,22.293957
MW-1,9420855.308,612028.5418,M-13,23.736265,26.785715,3.04945,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,625.567238,,,,,,,,,,,,,,,,,,25.26099
MW-1,9420855.308,612028.5418,M-14,26.785715,36.428571,9.642856,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,626.902885,,,,,,,,,,,,,,,,,,31.607143
MW-2,9420843.393,612011.9245,M-1,0.0,1.071429,1.071429,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,525.003684,,,,,,,,,,,,,,,,,,0.5357145
MW-2,9420843.393,612011.9245,M-2,1.071429,2.307693,1.236264,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,491.116914,,,,,,,,,,,,,,,,,,1.6895609999999999
MW-2,9420843.393,612011.9245,M-3,2.307693,3.708791,1.401098,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,481.605872,,,,,,,,,,,,,,,,,,3.008242
