ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);Densidad húmeda (gr/cm3);Densidad seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-1;9420840;612040;M-1;0;8;8;;;100;100;GC;;;;;;;;;;;S1;;;;;;;;
C-1;9420810;612032;M-1;0;0.8;0.8;;;;;GC;29.6;12.9;16.7;7;29.72;0.06;1.73;1.613;;;S1;333;160;70;;;59.4;19;21.6
C-2;9420840;612041;M-1;0;0.65;0.65;;;;;GC;30.3;13.1;17.2;10.4;;;1.725;1.593;151.33;;S1;;;;;;57.8;20.7;21.5
C-3;9420882;612010;M-1;0;1;1;;;;;GC;32;14.6;17.4;7.2;29.64;0.06;1.725;1.587;36.45;12.15;S1;408;226;120;;;53.4;18.8;27.8
MW-1;9420855.308;612028.5418;M-1;0;1.071429;1.071429;400.495693;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9420855.308;612028.5418;M-2;1.071429;2.307693;1.236264;379.237349;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9420855.308;612028.5418;M-3;2.307693;3.708791;1.401098;359.712437;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9420855.308;612028.5418;M-4;3.708791;5.274726;1.565935;442.359739;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9420855.308;612028.5418;M-5;5.274726;7.005495;1.730769;549.095068;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9420855.308;612028.5418;M-6;7.005495;8.9011;1.895605;648.576287;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9420855.308;612028.5418;M-7;8.9011;10.961539;2.060439;672.776738;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9420855.308;612028.5418;M-8;10.961539;13.186814;2.225275;665.915569;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9420855.308;612028.5418;M-9;13.186814;15.576924;2.39011;650.346946;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9420855.308;612028.5418;M-10;15.576924;18.131869;2.554945;633.876262;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9420855.308;612028.5418;M-11;18.131869;20.851649;2.71978;621.189522;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9420855.308;612028.5418;M-12;20.851649;23.736265;2.884616;623.636052;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9420855.308;612028.5418;M-13;23.736265;26.785715;3.04945;625.567238;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9420855.308;612028.5418;M-14;26.785715;36.428571;9.642856;626.902885;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9420855.308;612028.5418;M-15;36.428571;;;672.776759;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9420843.393;612011.9245;M-1;0;1.071429;1.071429;525.003684;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9420843.393;612011.9245;M-2;1.071429;2.307693;1.236264;491.116914;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9420843.393;612011.9245;M-3;2.307693;3.708791;1.401098;481.605872;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9420843.393;612011.9245;M-4;3.708791;5.274726;1.565935;582.324652;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9420843.393;612011.9245;M-5;5.274726;7.005495;1.730769;681.336983;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9420843.393;612011.9245;M-6;7.005495;8.9011;1.895605;706.838944;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9420843.393;612011.9245;M-7;8.9011;10.961539;2.060439;690.58511;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9420843.393;612011.9245;M-8;10.961539;13.186814;2.225275;664.789216;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9420843.393;612011.9245;M-9;13.186814;15.576924;2.39011;646.725926;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9420843.393;612011.9245;M-10;15.576924;18.131869;2.554945;641.807161;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9420843.393;612011.9245;M-11;18.131869;20.851649;2.71978;648.607911;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9420843.393;612011.9245;M-12;20.851649;23.736265;2.884616;658.091511;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9420843.393;612011.9245;M-13;23.736265;26.785715;3.04945;661.70601;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9420843.393;612011.9245;M-14;26.785715;36.428571;9.642856;667.735511;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9420843.393;612011.9245;M-15;36.428571;;;706.838965;;;;;;;;;;;;;;;;;;;;;;;
