ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);Densidad húmeda (gr/cm3);Densidad seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-1;9405411;542850;M-1;0;1;1;;;13;16.58;SP;;;;1;;;;;1.32;;S2;;;;;;1;95.3;3.7
SPT-1;9405440;542850;M-2;1;2;1;;;21;26.78;SP;;;;1.3;;;;;2.13;;S2;;;;;;0;95.2;4.8
SPT-1;9405440;542850;M-3;2;3;1;;;18;19.71;SP;;;;0.8;;;;;1.57;;S2;;;;;;0;95.6;4.4
SPT-1;9405440;542850;M-4;3;4;1;;;17;17.18;SP;;;;0.7;;;;;1.37;;S2;;;;;;0;95.7;4.3
SPT-1;9405440;542850;M-5;4;5;1;;;28;27.76;SP-SM;;;;18.3;;;;;2.21;;S2;;;;;;0;93.3;6.7
SPT-1;9405440;542850;M-6;5;6;1;;;39;36.16;SP-SM;;;;19.6;;;;;2.88;;S2;;;;;;0;90.4;9.6
SPT-1;9405440;542850;M-7;6;7;1;;;44;38.55;SP-SM;;;;22.4;;;;;3.07;;S2;;;;;;1.3;88.3;10.4
SPT-1;9405440;542850;M-8;7;8;1;;;109;90.75;SP;;;;22.3;;;;;7.23;;S2;;;;;;0.3;95;4.7
SPT-2;9405411;542928;M-1;0;1;1;;;16;20.4;SP-SM;;;;2.4;;;;;1.63;;S2;;;;;;0;94.3;5.7
SPT-2;9405411;542928;M-2;1;2;1;;;14;17.85;SP;;;;0.8;;;;;1.42;;S2;;;;;;0;97.2;2.8
SPT-2;9405411;542928;M-3;2;3;1;;;16;17.66;SP;;;;0.8;;;;;1.41;;S2;;;;;;0;96.5;3.5
SPT-3;9405401;542830;M-1;0;1;1;;;13;14;SP-SM ;8.6;5.7;2.9;13.77;;;;;1.2;;S2;;;;;;0;93.66;6.34
SPT-3;9405401;542830;M-2;1;2;1;;;19;18;SM ;11.9;8.8;3.1;9.01;;;;;1.51;;S2;;;;;;0;58.92;41.08
SPT-3;9405401;542830;M-3;2;3;1;;;16;14;SM ; ; ; ;3.83;;;;;1.19;;S2;;;;;;0;58.39;41.73
SPT-3;9405401;542830;M-4;3;4;1;;;10;8;SM ; ; ; ;8.05;;;;;0.7;;S2;;;;;;0;78.86;21.14
SPT-3;9405401;542830;M-5;4;5;1;;;16;12;SM ;10.1;7.1;3;14.1;;;;;1.01;;S2;;;;;;0;77.06;22.94
SPT-3;9405401;542830;M-6;5;6;1;;;41;31;SM ; ; ; ;10.46;;;;;2.63;;S2;;;;;;0;54.05;45.95
SPT-3;9405401;542830;M-7;6;7;1;;;98;100;SM ;10.2;7.4;2.8;18.81;;;;;;;S2;;;;;;0;67.02;32.98
SPT-3;9405401;542830;M-8;7;8;1;;;100;100;SM ; ; ; ;9.51;;;;;;;S2;;;;;;0;55.11;44.89
SPT-3;9405401;542830;M-9;8;9;1;;;100;100;SM ;9.9;8.1;1.8;12.82;;;;;;;S2;771;934;189;6.91;;0;67.73;32.27
SPT-3;9405401;542830;M-10;9;10;1;;;100;100;SM ;11;9.2;1.8;11.05;;;;;;;S2;;;;;;0;55.48;44.52
SPT-3;9405401;542830;M-11;10;11;1;;;100;100;SM ; ; ; ;14.2;;;;;;;S2;987;823;198;6.81;;0;63.83;36.17
SPT-3;9405401;542830;M-12;11;12;1;;;100;100;SM ; ; ; ;15.24;;;;;;;S2;;;;;;0;66.58;33.42
SPT-3;9405401;542830;M-13;12;13;1;;;100;100;SM-SM ; ; ; ;24.84;;;;;;;S2;561;819;171;7.19;;0;88.07;11.93
SPT-3;9405401;542830;M-14;13;14;1;;;100;100;SM ; ; ; ;40.42;;;;;;;S2;;;;;;0;87.77;12.23
SPT-3;9405401;542830;M-15;14;15;1;;;100;100;SP-SM ; ; ; ;27.38;;;;;;;S2;627;955;130;6.97;;0;91.92;8.08
C-1;9405364;542832;M-1;0;5;4.8;;;;;SP;;;;0.9;30.26;0.01;1.8;1.548;;;S2;312;156;60;;Bajo ;;;
