ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);Densidad húmeda (gr/cm3);Densidad seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-1;9421168;537949;M-1;0;1;1;;;30;38.25;SP-SM; ; ; ;1.7;;;;;3.05;;S2;;;;;;0,0;92,8;7,2
SPT-1;9421168;537949;M-2;2;3;1;;;31;39.53;SP-SM; ; ; ;2.1;;;;;3.15;;S2;;;;;;0,0;92,3;7,7
SPT-1;9421168;537949;M-3;3;4;1;;;32;34.93;SP-SM; ; ; ;2.6;;;;;2.78;;S2;;;;;;0,0;94,1;5,9
SPT-1;9421168;537949;M-4;4;5;1;;;54;55.11;SM; ; ; ;5.9;;;;;4.39;;S2;;;;;;0,0;91,0;9,0
SPT-2;9457270;535000;M-1;0;1;1;;;;;SM;;;;;;;;;;;S2;;;;;;;;
SPT-2;9457270;535000;M-2;1;2;1;;;7;37;SM; ; ; ;10.15;;;;;2.74;;S2;;;;;;0;59.27;40.73
SPT-2;9457270;535000;M-3;2;3;1;;;13;50;SM;16.15;12.92;3.24;8.96;;;;;;;S2;;;;;;0;60.76;39.24
SPT-2;9457270;535000;M-4;3;4;1;;;14;50;SM;17.16;15.06;2.11;3.29;;;;;;;S2;;;;;;0;83.17;16.83
SPT-2;9457270;535000;M-5;4;5;1;;;21;50;SM; ; ; ;14.98;;;;;;;S2;;;;;;0;87.28;12.72
SPT-2;9457270;535000;M-6;5;6;1;;;27;50;SM; ; ; ;15.9;;;;;;;S2;;;;;;0;81.74;18.26
SPT-2;9457270;535000;M-7;6;7;1;;;18;50;SM; ; ; ;9.31;;;;;;;S2;;;;;;0;83;17
SPT-2;9457270;535000;M-8;7;8;1;;;24;50;SP-SM; ; ; ;18.66;;;;;;;S2;;;;;;0;93.95;6.05
