ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);Densidad húmeda (gr/cm3);Densidad seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-1;9407223;530862;M-1;0;1;1;;;8;10.2;SP;;;;3.2;;;;;0.81;;S2;;;;;;0;96.7;3.3
SPT-1;9407223;530862;M-2;1;2;1;;;2;2.55;CL;33.2;19.3;13.9;30.5;;;;;0.2;;S2;;;;;;0;25.1;74.9
SPT-1;9407223;530862;M-3;2;3;1;;;4;5.1;SM;;;;21;;;;;0.41;;S2;;;;;;0;80.7;19.3
SPT-1;9407223;530862;M-4;3;4;1;;;8;9.52;ML;19.3;15.4;3.9;20.9;;;;;0.76;;S2;;;;;;0;35;65
SPT-1;9407223;530862;M-5;4;5;1;;;13;14.95;ML;28;22.5;5.5;26.9;;;;;1.19;;S2;;;;;;0;5.2;94.8
SPT-1;9407223;530862;M-6;5;6;1;;;10;10.6;CL;28.1;21;7.1;26.4;;;;;0.84;;S2;;;;;;0;9.3;90.7
SPT-1;9407223;530862;M-7;6;7;1;;;12;11.93;CL;29.1;16.4;12.7;31.4;;;;;0.95;;S2;;;;;;0;20.5;79.5
SPT-1;9407223;530862;M-8;7;8;1;;;25;23.2;SM;;;;19.6;;;;;1.85;;S2;;;;;;0;85.4;14.6
SPT-1;9407223;530862;M-9;8;9;1;;;44;38.43;SM;;;;19;;;;;3.06;;S2;;;;;;0;79.9;20.1
SPT-1;9407223;530862;M-10;9;10;1;;;97;80.15;SM;;;;17.6;;;;;6.38;;S2;;;;;;0;78.3;21.7
SPT-2;9407192;530800;M-1;0;1;1;;;9;11.48;SP;;;;16.9;;;;;0.91;;S2;;;;;;0;97.2;2.8
SPT-2;9407192;530800;M-2;1;2;1;;;7;8.93;SP-SM;;;;20.1;;;;;0.71;;S2;;;;;;0;91.2;8.8
SPT-2;9407192;530800;M-3;2;3;1;;;5;6.1;SM;18.8;;;26.6;;;;;0.49;;S2;;;;;;0;56.9;43.1
SPT-2;9407192;530800;M-4;3;4;1;;;4;4.67;CL;27.3;19.7;7.6;29.5;;;;;0.37;;S2;;;;;;0;11.7;88.3
SPT-2;9407192;530800;M-5;4;5;1;;;10;11.4;CL;35.9;21.8;14.1;33.2;;;;;0.91;;S2;;;;;;0;12.7;87.3
SPT-2;9407192;530800;M-6;5;6;1;;;12;12.7;CL;29.8;20.7;9.1;30.9;;;;;1.01;;S2;;;;;;0;16;84
SPT-2;9407192;530800;M-7;6;7;1;;;35;34.69;CL;31.9;20.8;11.1;30.2;;;;;2.76;;S2;;;;;;0;14.5;85.5
SPT-2;9407192;530800;M-8;7;8;1;;;64;59.16;SM; ;; ;18.2;;;;;4.71;;S2;;;;;;0;83.3;16.7
SPT-2;9407192;530800;M-9;8;9;1;;;60;52.07;SM;;;;16.4;;;;;4.15;;S2;;;;;;0;79.3;20.7
SPT-3;9407204;530829;M-1 ;0;1;1;;;;;SP-SM;;;;;;;;;;;S2;;;;;;;;
SPT-3;9407204;530829;M-2 ;1;2;1;;;2;2;SP-SM ;8.6;5.7;2.9;13.77;;;;;0.18;;S2;;;;;;0;93.66;6.34
SPT-3;9407204;530829;M-3 ;2;3;1;;;7;7;SM ;11.9;8.8;3.1;9.01;;;;;0.57;;S2;;;;;;0;58.92;41.08
SPT-3;9407204;530829;M-4 ;3;4;1;;;3;3;SM ;;; ;3.83;;;;;0.24;;S2;;;;;;0;58.27;41.73
SPT-3;9407204;530829;M-5 ;4;5;1;;;5;5;SM ;10.1;7.1;3;8.05;;;;;0.39;;S2;;;;;;0;78.86;21.14
SPT-3;9407204;530829;M-6 ;5;6;1;;;10;9;SM ;18.6;9.8;8.8;14.1;;;;;0.71;;S2;;;;;;0;77.06;22.94
SPT-3;9407204;530829;M-7 ;6;7;1;;;7;7;SM ;;; ;10.14;;;;;0.52;;S2;;;;;;0;54.05;45.95
SPT-3;9407204;530829;M-8 ;7;8;1;;;13;11;SM ;10.2;7.4;2.8;18.81;;;;;0.9;;S2;;;;;;0;67.02;32.98
SPT-3;9407204;530829;M-9 ;8;9;1;;;14;11;SM ;;; ;9.51;;;;;0.92;;S2;;;;;;0;55.11;44.89
SPT-3;9407204;530829;M-10 ;9;10;1;;;9;7;SM ;9.9;8.1;1.8;12.82;;;;;0.55;;S2;4641;2366;1177;6.62;;0;67.73;32.27
SPT-3;9407204;530829;M-11 ;10;11;1;;;19;15;SM ;11;9.2;1.8;11.05;;;;;1.17;;S2;;;;;;0;55.48;44.52
SPT-3;9407204;530829;M-12 ;11;12;1;;;31;23;SM ;;; ;14.2;;;;;1.81;;S2;5340;1885;1057;6.73;;0;63.83;36.17
SPT-3;9407204;530829;M-13 ;12;13;1;;;40;28;SM ;;; ;15.24;;;;;2.22;;S2;;;;;;0;66.58;33.42
SPT-3;9407204;530829;M-14 ;13;14;1;;;54;58;SP-SM ;;; ;24.84;;;;;0;;S2;4887;1304;880;7.19;;0;88.07;11.93
SPT-3;9407204;530829;M-15 ;14;15;1;;;48;30;SM ;;; ;40.42;;;;;2.42;;S2;;;;;;0;87.77;12.23
SPT-3;9407204;530829;M-16;15;16;1;;;38;23;SP-SM ;;; ;27.38;;;;;1.84;;S2;5904;1815;899;7.21;;0;91.92;8.08
C-1;9407176;530794;M-1;0;1.1;1.1;;;;;SP;;;;21.4;;;1.877;1.698;;;S2;4116;2407;1035;;;0;97.7;2.3
C-2;9407211;530806;M-1;0;1;0.8;;;;;SP;;;;2.5;30.5;0;1.806;1.523;;;S2;504;259;90;;Bajo;0;99.5;0.5
C-2;9407211;530806;M-2;1;1.9;0.9;;;;;CL;35.1;19.4;15.7;37.5;26.61;0.09;1.69;1.255;;;S2;;;;;;0;13.7;86.3
C-3;9407245;530808;M-1;0;1.2;0.8;;;;;SP;;;;1.4;;;1.927;1.75;;;S2;690;366;110;;;0;99.2;0.8
C-3;9407245;530808;M-2;1.2;2.8;1.6;;;;;CL;29.3;21.8;7.5;32.3;;;;;;;S2;;;;;;0;10.8;89.2
C-4;9407241;530872;M-1;0;0.6;0.5;;;;;SM;;;;1.8;;;;;;;S2;;;;;;12.9;73.5;13.6
C-4;9407241;530872;M-2;0.6;2.2;1.6;;;;;SP;;;;0.9;30.35;0;1.605;1.567;;;S2;;;;;;0;97.4;2.6
C-4;9407241;530872;M-3;2.2;2.8;0.6;;;;;CL;31.6;19.6;12;37.3;;;;;;;S2;;;;;;0;14;86
C-5;9407206;530869;M-1;0;0.5;0.4;;;;;SP-SM;;;;1.1;;;;;;;S2;;;;;;4.1;88.6;7.3
C-5;9407206;530869;M-2;0.5;2.2;1.7;;;;;SP;;;;21.5;29.63;0;1.627;1.363;;;S2;;;;;;0;97.1;2.9
C-6;9407159;530867;M-1;0;1.5;1.3;;;;;SP;;;;20.8;;;;;;;S2;;;;;;0;95.8;4.2
MW-1;9407194.431;530868.0869;M-1;0;1.071429;1.071429;210.803345;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9407194.431;530868.0869;M-2;1.071429;2.307692;1.236263;208.399028;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9407194.431;530868.0869;M-3;2.307692;3.708791;1.401099;226.971537;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9407194.431;530868.0869;M-4;3.708791;5.274725;1.565934;244.257271;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9407194.431;530868.0869;M-5;5.274725;7.005495;1.73077;253.342718;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9407194.431;530868.0869;M-6;7.005495;8.901099;1.895604;254.668653;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9407194.431;530868.0869;M-7;8.901099;10.961538;2.060439;259.327084;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9407194.431;530868.0869;M-8;10.961538;13.186812;2.225274;273.82037;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9407194.431;530868.0869;M-9;13.186812;15.576922;2.39011;272.377342;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9407194.431;530868.0869;M-10;15.576922;18.131867;2.554945;294.425309;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9407194.431;530868.0869;M-11;18.131867;20.851647;2.71978;298.910767;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9407194.431;530868.0869;M-12;20.851647;23.736263;2.884616;330.541492;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9407194.431;530868.0869;M-13;23.736263;26.785713;3.04945;337.288499;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9407194.431;530868.0869;M-14;26.785713;36.428571;9.642858;369.708955;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9407194.431;530868.0869;M-15;36.428571;;;374.922067;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9407216.481;530833.0229;M-1;0;1.071429;1.071429;243.034512;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9407216.481;530833.0229;M-2;1.071429;2.307692;1.236263;241.522536;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9407216.481;530833.0229;M-3;2.307692;3.708791;1.401099;238.96873;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9407216.481;530833.0229;M-4;3.708791;5.274725;1.565934;231.750652;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9407216.481;530833.0229;M-5;5.274725;7.005495;1.73077;243.375748;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9407216.481;530833.0229;M-6;7.005495;8.901099;1.895604;252.161264;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9407216.481;530833.0229;M-7;8.901099;10.961538;2.060439;256.399006;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9407216.481;530833.0229;M-8;10.961538;13.186812;2.225274;268.461645;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9407216.481;530833.0229;M-9;13.186812;15.576922;2.39011;282.012343;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9407216.481;530833.0229;M-10;15.576922;18.131867;2.554945;282.289714;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9407216.481;530833.0229;M-11;18.131867;20.851647;2.71978;305.571288;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9407216.481;530833.0229;M-12;20.851647;23.736263;2.884616;308.702946;;;;;;;;;;;;;;;;;;;;;;;
