ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);Densidad húmeda (gr/cm3);Densidad seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-1;9403724;526452;M-1;0;0.6;0.6;;;32;40.8;SP-SM;;;;1.6;;;;;3.25;;S2;;;;;;;;
SPT-1;9403692;526452;M-2;0;1;1;;;26;33.15;SM;;;;6;;;;;2.64;;S2;;;;;;0;86.8;13.2
SPT-1;9403692;526452;M-3;1;2;1;;;36;41.67;SP-SM;;;;3.3;;;;;3.32;;S2;;;;;;0;91.3;8.7
SPT-1;9403692;526452;M-4;2;3;1;;;48;52.74;SP-SM;;;;17.6;;;;;4.2;;S2;;;;;;0;92;8
SPT-1;9403692;526452;M-5;3;4;1;;;55;58.4;SM;;;;17.8;;;;;4.65;;S2;;;;;;0;73.1;26.9
SPT-1;9403692;526452;M-6;4;5;1;;;115;112.14;SP-SM;;;;17.5;;;;;7.16;;S2;;;;;;0;89.3;10.7
SPT-1;9403692;526452;M-7;5;6;1;;;;;SP-SM;;;;13.7;;;;;;;S2;;;;;;5;84.7;10.3
SPT-2;9403692;526493;M-1;0;1;1;;;41;52.28;SP-SM;;;;3.3;;;;;4.16;;S2;;;;;;3.2;85.2;11.6
SPT-2;9403692;526493;M-2;1;2;1;;;30;38.25;SM;;;;1.4;;;;;3.05;;S2;;;;;;2.9;78.3;18.8
SPT-2;9403692;526493;M-3;2;3;1;;;64;70.08;SM;;;;1.2;;;;;5.58;;S2;;;;;;2;77;21
SPT-2;9403692;526493;M-4;3;3.7;0.7;;;66;66.71;SM;;;;1.2;;;;;5.31;;S2;;;;;;3.2;73.7;23.1
SPT-3;9403707;526412;M-1;0;1;1;;;;;SM;;;;;;;;;;;S2;;;;;;;;
SPT-3;9403707;526412;M-2;1;2;1;;;19;23;SM ; ; ; ;13.5;;;;;1.92;;S2;;;;;;0;76.21;23.79
SPT-3;9403707;526412;M-3;2;3;1;;;23;26;SM ; ; ; ;9.68;;;;;2.18;;S2;;;;;;0;68.41;31.59
SPT-3;9403707;526412;M-4;3;4;1;;;41;47;SM ;9.37;8.13;1.23;9.5;;;;;4.01;;S2;;;;;;0;50.94;49.06
SPT-3;9403707;526412;M-5;4;5;1;;;43;48;SM ;10.6;6.82;3.78;10.59;;;;;4.04;;S2;;;;;;0;57.97;42.03
SPT-3;9403707;526412;M-6;5;6;1;;;49;50;SM ; ; ; ;12.12;;;;;4.25;;S2;3645;1399;230;7.02;;0;81.22;18.78
SPT-3;9403707;526412;M-7;6;7;1;;;79;83;SM ; ; ; ;16.29;;;;;;;S2;;;;;;0;81;19
SPT-3;9403707;526412;M-8;7;8;1;;;100;100;SM ; ; ; ;6.49;;;;;;;S2;2943;1786;211;7.06;;0;56.85;43.15
SPT-4;9403685;526474;M-1;0;1;1;;;;;SM;;;;;;;;;;;S2;;;;;;;;
SPT-4;9403685;526474;M-2;1;2;1;;;18;21;SM ;18.11;14.25;3.85;15.85;;;;;1.82;;S2;;;;;;0;85.75;14.25
SPT-4;9403685;526474;M-3;2;3;1;;;29;32;SM ; ; ; ;12.68;;;;;2.75;;S2;3375;1403;187;7.02;;0;61.07;38.93
SPT-4;9403685;526474;M-4;3;4;1;;;31;35;SM ; ; ; ;10.83;;;;;;;S2;2571;1202;159;6.88;;0;68.54;31.46
SPT-4;9403685;526474;M-5;4;5;1;;;100;100;SM ;14.14;10.25;3.89;9.71;;;;;;;S2;;;;;;0;68.31;31.69
C-1;9403689;526480;M-1;0;0.6;0.6;;;;;SP-SM;;;;1.6;;;2.174;1.966;;;S2;;;;;;6.3;87.4;6.3
C-1;9403689;526480;M-2;0.6;5;4.4;;;;;SP;;;;2.2;27.89;0.02;1.664;1.627;;;S2;;;;;;0.5;97.6;1.9
C-2;9403711;526460;M-1;0;0.5;0.5;;;;;SP-SM;;;;1.7;;;;1.629;;;S2;1038;498;230;;Bajo;4.8;88.7;6.5
C-2;9403711;526460;M-2;0.5;5;4.5;;;;;SP;;;;2.9;30.61;0;1.663;1.614;;;S2;567;230;120;;;4.7;89.9;5.4
C-3;9403707;526418;M-1;0.3;0.9;0.6;;;;;SP-SM;;;;1.6;;;2.2;2;;;S2;;;;;;0;95.1;4.9
C-3;9403707;526418;M-2;0.9;5;4.1;;;;;SP-SM;;;;6.4;29.39;0.02;1.665;1.652;;;S2;;;;;;0;91.4;8.6
C-4;9403692;526448;M-1;0.15;5;4.85;;;;;SP;;;;2.1;;;;;;;S2;2187;1551;300;;;0;97.7;2.3
MW-1;9403701.983;526428.1041;M-1;0;1.071429;1.071429;313.837916;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9403701.983;526428.1041;M-2;1.071429;2.307692;1.236263;317.039698;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9403701.983;526428.1041;M-3;2.307692;3.708791;1.401099;330.297709;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9403701.983;526428.1041;M-4;3.708791;5.274725;1.565934;366.68843;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9403701.983;526428.1041;M-5;5.274725;7.005495;1.73077;389.727652;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9403701.983;526428.1041;M-6;7.005495;8.901099;1.895604;395.548999;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9403701.983;526428.1041;M-7;8.901099;10.961538;2.060439;398.662299;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9403701.983;526428.1041;M-8;10.961538;13.186812;2.225274;390.883297;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9403701.983;526428.1041;M-9;13.186812;15.576922;2.39011;408.405662;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9403701.983;526428.1041;M-10;15.576922;18.131867;2.554945;431.150973;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9403701.983;526428.1041;M-11;18.131867;20.851647;2.71978;433.247149;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9403701.983;526428.1041;M-12;20.851647;23.736263;2.884616;457.362235;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9403701.983;526428.1041;M-13;23.736263;26.785713;3.04945;484.300971;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9403701.983;526428.1041;M-14;26.785713;36.428571;9.642858;512.549937;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9403701.983;526428.1041;M-15;36.428571;;;522.234082;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9403683.743;526445.3931;M-1;0;1.071429;1.071429;278.313994;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9403683.743;526445.3931;M-2;1.071429;2.307692;1.236263;269.476384;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9403683.743;526445.3931;M-3;2.307692;3.708791;1.401099;277.636886;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9403683.743;526445.3931;M-4;3.708791;5.274725;1.565934;336.103499;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9403683.743;526445.3931;M-5;5.274725;7.005495;1.73077;392.884612;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9403683.743;526445.3931;M-6;7.005495;8.901099;1.895604;393.731982;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9403683.743;526445.3931;M-7;8.901099;10.961538;2.060439;403.941244;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9403683.743;526445.3931;M-8;10.961538;13.186812;2.225274;414.561272;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9403683.743;526445.3931;M-9;13.186812;15.576922;2.39011;427.084714;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9403683.743;526445.3931;M-10;15.576922;18.131867;2.554945;427.561164;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9403683.743;526445.3931;M-11;18.131867;20.851647;2.71978;456.962049;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9403683.743;526445.3931;M-12;20.851647;23.736263;2.884616;490.615845;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9403683.743;526445.3931;M-13;23.736263;26.785713;3.04945;501.304507;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9403683.743;526445.3931;M-14;26.785713;36.428571;9.642858;537.957072;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9403683.743;526445.3931;M-15;36.428571;;;547.508955;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9403719.174;526414.6174;M-1;0;1.071429;1.071429;315.685481;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9403719.174;526414.6174;M-2;1.071429;2.307692;1.236263;308.462918;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9403719.174;526414.6174;M-3;2.307692;3.708791;1.401099;338.080525;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9403719.174;526414.6174;M-4;3.708791;5.274725;1.565934;381.623417;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9403719.174;526414.6174;M-5;5.274725;7.005495;1.73077;428.073436;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9403719.174;526414.6174;M-6;7.005495;8.901099;1.895604;459.55199;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9403719.174;526414.6174;M-7;8.901099;10.961538;2.060439;467.085838;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9403719.174;526414.6174;M-8;10.961538;13.186812;2.225274;460.43843;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9403719.174;526414.6174;M-9;13.186812;15.576922;2.39011;468.482316;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9403719.174;526414.6174;M-10;15.576922;18.131867;2.554945;477.101266;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9403719.174;526414.6174;M-11;18.131867;20.851647;2.71978;483.684152;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9403719.174;526414.6174;M-12;20.851647;23.736263;2.884616;495.669752;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9403719.174;526414.6174;M-13;23.736263;26.785713;3.04945;501.548052;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9403719.174;526414.6174;M-14;26.785713;36.428571;9.642858;563.771129;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9403719.174;526414.6174;M-15;36.428571;;;579.541802;;;;;;;;;;;;;;;;;;;;;;;
