ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-1;9458226;534207;M-1;0;1;1;;;20;25.5;SP-SM;;;;0.5;;;;;2.03;;S2;;;;;;1.3;93.4;5.3
SPT-1;9458226;534207;M-2;1;2;1;;;22;28.05;SP;;;;0.8;;;;;2.23;;S2;;;;;;0;95.6;4.4
SPT-1;9458226;534207;M-3;2;3;1;;;24;26.08;SP;;;;1.4;;;;;2.08;;S2;;;;;;0;95.6;4.4
SPT-1;9458226;534207;M-4;3;4;1;;;32;32.19;SP-SM;;;;1.9;;;;;2.56;;S2;;;;;;0;95.8;4.2
SPT-1;9458226;534207;M-5;4;5;1;;;30;29.28;SM;;;;11.2;;;;;2.33;;S2;;;;;;0;92.5;7.5
SPT-1;9458226;534207;M-6;5;6;1;;;30;27.23;SP-SM;;;;14.5;;;;;2.17;;S2;;;;;;0;86.7;13.3
SPT-1;9458226;534207;M-7;6;7;1;;;30;25.62;SP-SM;;;;16.5;;;;;2.04;;S2;;;;;;0;93.1;6.9
SPT-1;9458226;534207;M-8;7;8;1;;;42;34.27;SP;;;;27.2;;;;;2.73;;S2;;;;;;0;92.5;7.5
SPT-1;9458226;534207;M-9;8;9;1;;;46;35.61;SM;;;;13.7;;;;;2.84;;S2;;;;;;0;98.4;1.6
SPT-1;9458226;534207;M-10;9;10;1;;;49;36.18;SM;;;;13.9;;;;;2.88;;S2;;;;;;2.6;79.8;17.6
SPT-2;9458179;534230;M-1;0;1;1;;;15;19.13;SP-SM;;;;1.8;;;;;1.52;;S2;;;;;;17;67.9;15.1
SPT-2;9458179;534230;M-2;1;2;1;;;20;25.5;SP-SM;;;;1.3;;;;;2.03;;S2;;;;;;0;95;5
