ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-1;9494098;469650;M-1;0;1;1;;;17;21.68;SC;28.2;16.5;11.7;11.4;;;;;1.61;;S2;;;;;;0;52.8;47.2
SPT-1;9494098;469650;M-2;1;2;1;;;15;19.13;SP-SM;;;;4.6;;;;;1.62;;S2;;;;;;0;91.2;8.8
SPT-1;9494098;469650;M-3;2;3;1;;;17;19.76;SM;;;;16.2;;;;;1.68;;S2;;;;;;0;86.3;13.7
SPT-1;9494098;469650;M-4;3;4;1;;;6;6.63;SM;;;;21.4;;;;;0.56;;S2;;;;;;0;68.7;31.3
SPT-1;9494098;469650;M-5;4;5;1;;;8;8.65;CL;30.1;16.5;13.6;29.4;;;;;0.73;;S2;;;;;;0;20.1;79.9
SPT-1;9494098;469650;M-6;6;6;0;;;4;4.04;SC;24.2;15.7;8.5;32.4;;;;;0.34;;S2;;;;;;0;62.6;37.4
SPT-1;9494098;469650;M-7;7;7;0;;;132;126.68;SM;;;;46;;;;;10.76;;S2;;;;;;0;79.3;20.7
SPT-2;9494124;469706;M-1;0;1;1;;;24;30.6;SP-SM;;;;1.8;;;;;2.28;;S2;;;;;;0;89.4;10.6
SPT-2;9494124;469706;M-2;1;2;1;;;19;24.23;SP-SM;;;;2.6;;;;;2.06;;S2;;;;;;0;90.2;9.8
SPT-2;9494124;469706;M-3;2;3;1;;;22;28.05;SM;;;;9;;;;;2.38;;S2;;;;;;0;84.1;15.9
SPT-2;9494124;469706;M-4;3;4;1;;;5;6.43;SM;;;;12.3;;;;;0.55;;S2;;;;;;2.5;83.3;14.2
SPT-2;9494124;469706;M-5;4;5;1;;;6;7.39;SM;;;;20.5;;;;;0.63;;S2;;;;;;0;65;35
SPT-2;9494124;469706;M-6;5;6;1;;;6;6.77;CL;;;;46.4;;;;;0.57;;S2;;;;;;0;33.4;66.6
SPT-2;9494124;469706;M-7;6;7;1;;;46;48.07;SC;;;;40.3;;;;;4.08;;S2;;;;;;0;55.6;44.4
SPT-2;9494124;469706;M-8;7;7.7;0.7;;;66;64.56;SM;;;;27.6;;;;;5.48;;S2;;;;;;0;81.9;18.1
SPT-3;9494111;469713;M-0;0;1;1;;;;;SM;;;;;;;;;;;S2;;;;;;;;
SPT-3;9494111;469713;M-1;1;2;1;;;12;13;SM ;13;10.6;2.4;7.3;;;;;1.04;;S2;;;;;;0;58.3;41.7
SPT-3;9494111;469713;M-2;2;3;1;;;17;16;SM ;;;;9.05;;;;;1.27;;S2;;;;;;0;57.3;42.7
SPT-3;9494111;469713;M-3;3;4;1;;;17;16;CL ;24.5;15.5;9;8.61;;;;;1.24;;S2;;;;;;0;33.4;66.6
SPT-3;9494111;469713;M-4;4;5;1;;;14;13;CL ;23.5;11.3;12.3;13.02;;;;;1;;S2;;;;;;0;27;73
SPT-3;9494111;469713;M-5;5;6;1;;;8;7;CL ;18.6;9.8;8.8;8;;;;;0.53;;S2;;;;;;0;30.37;69.63
SPT-3;9494111;469713;M-6;6;7;1;;;10;9;CL ;18.9;9.2;9.7;8.68;;;;;0.7;;S2;;;;;;0;27.86;72.14
SPT-3;9494111;469713;M-7;7;8;1;;;8;7;SM ;;;;6.71;;;;;0.52;;S2;;;;;;0;56.67;43.33
SPT-3;9494111;469713;M-8;8;9;1;;;58;60;SM ;;;;7.91;;;;;0;;S2;;;;;;0;62.77;37.23
SPT-3;9494111;469713;M-9;9;10;1;;;100;101;SM ;;;;10.62;;;;;0;;S2;6636;4284;2421;7.17;;0;65.47;34.53
SPT-3;9494111;469713;M-10;10;11;1;;;40;29;SM ;;;;8.38;;;;;2.34;;S2;;;;;;0;61.59;38.41
SPT-3;9494111;469713;M-11;11;12;1;;;53;54;SM ;17.1;16;1.1;8.23;;;;;0;;S2;6300;3234;2229;7.32;;0;64.39;35.61
SPT-3;9494111;469713;M-12;12;13;1;;;72;74;SM ;;;;13.45;;;;;0;;S2;;;;;;0;57.35;42.65
SPT-3;9494111;469713;M-13;13;14;1;;;43;47;SM ;18.4;15.3;3.1;7.82;;;;;2.18;;S2;6948;4745;2268;7.59;;0;64.14;35.86
SPT-3;9494111;469713;M-14;14;15;1;;;68;69;SM ;16;17.2;1.2;10.74;;;;;0;;S2;;;;;;0;56.27;43.73
SPT-3;9494111;469713;M-15;15;16;1;;;61;62;SM ;;;;9.04;;;;;0;;S2;5223;4893;130;7.28;;0;73.71;26.9
C-1;469701;9494105;M-1;0;2.7;2.7;;;;;CL;36.3;13.2;23.1;32.4;;;1.775;1.321;;;S2;10632;5448;2860;;;0;30;70
C-2;469740;9494141;M-1;0;3;3;;;;;CL;33.5;13.7;19.8;36.5;;;;;;;S2;;;;;;0;35.7;64.3
C-3;469680;9494126;M-1;0;2.6;2.6;;;;;CL;34;11;23;35.2;;;2.108;1.806;;;S2;;;;;;0;28;72
C-4;469664;9494076;M-1;0;2.8;2.8;;;;;CL;37.3;12.3;24;35.2;24.17;0.06;1.775;1.341;;;S2;5514;2823;1560;;;0;38.3;61.7
C-5;469741;9494109;M-1;0;2.4;2.4;;;;;CL;37.9;13.1;24.7;39.8;;;;;;;S2;9285;4625;2720;;;0;27.7;72.3
C-6;469662;9494042;M-1;0;2.2;2.2;;;;;CL;35.4;12;23.4;33.1;23.52;0.08;1.858;1.396;;;S2;;;;;;0;26.7;73.3
MW-1;469697.9816;9494083.465;M-1;0;1.071429;1.071429;166.604521;;;;;;;;;;;;;;;;;;;;;;;
MW-1;469697.9816;9494083.465;M-2;1.071429;2.307693;1.236264;173.543444;;;;;;;;;;;;;;;;;;;;;;;
MW-1;469697.9816;9494083.465;M-3;2.307693;3.708791;1.401098;170.138052;;;;;;;;;;;;;;;;;;;;;;;
MW-1;469697.9816;9494083.465;M-4;3.708791;5.274726;1.565935;151.838887;;;;;;;;;;;;;;;;;;;;;;;
MW-1;469697.9816;9494083.465;M-5;5.274726;7.005495;1.730769;157.045907;;;;;;;;;;;;;;;;;;;;;;;
MW-1;469697.9816;9494083.465;M-6;7.005495;8.9011;1.895605;185.02097;;;;;;;;;;;;;;;;;;;;;;;
MW-1;469697.9816;9494083.465;M-7;8.9011;10.961539;2.060439;199.428497;;;;;;;;;;;;;;;;;;;;;;;
MW-1;469697.9816;9494083.465;M-8;10.961539;13.186814;2.225275;223.840456;;;;;;;;;;;;;;;;;;;;;;;
MW-1;469697.9816;9494083.465;M-9;13.186814;15.576924;2.39011;225.311798;;;;;;;;;;;;;;;;;;;;;;;
MW-1;469697.9816;9494083.465;M-10;15.576924;18.131869;2.554945;221.52961;;;;;;;;;;;;;;;;;;;;;;;
MW-1;469697.9816;9494083.465;M-11;18.131869;20.851649;2.71978;235.041404;;;;;;;;;;;;;;;;;;;;;;;
MW-1;469697.9816;9494083.465;M-12;20.851649;23.736265;2.884616;232.501517;;;;;;;;;;;;;;;;;;;;;;;
MW-1;469697.9816;9494083.465;M-13;23.736265;26.785715;3.04945;231.179243;;;;;;;;;;;;;;;;;;;;;;;
MW-1;469697.9816;9494083.465;M-14;26.785715;36.428571;9.642856;230.561588;;;;;;;;;;;;;;;;;;;;;;;
MW-1;469697.9816;9494083.465;M-15;36.428571;;36.428571;252.261168;;;;;;;;;;;;;;;;;;;;;;;
MW-2;469692.1803;9494126.471;M-1;0;1.071429;1.071429;183.66206;;;;;;;;;;;;;;;;;;;;;;;
MW-2;469692.1803;9494126.471;M-2;1.071429;2.307693;1.236264;191.882711;;;;;;;;;;;;;;;;;;;;;;;
MW-2;469692.1803;9494126.471;M-3;2.307693;3.708791;1.401098;183.653071;;;;;;;;;;;;;;;;;;;;;;;
MW-2;469692.1803;9494126.471;M-4;3.708791;5.274726;1.565935;168.196731;;;;;;;;;;;;;;;;;;;;;;;
MW-2;469692.1803;9494126.471;M-5;5.274726;7.005495;1.730769;162.851564;;;;;;;;;;;;;;;;;;;;;;;
MW-2;469692.1803;9494126.471;M-6;7.005495;8.9011;1.895605;178.821885;;;;;;;;;;;;;;;;;;;;;;;
MW-2;469692.1803;9494126.471;M-7;8.9011;10.961539;2.060439;198.443213;;;;;;;;;;;;;;;;;;;;;;;
MW-2;469692.1803;9494126.471;M-8;10.961539;13.186814;2.225275;205.268934;;;;;;;;;;;;;;;;;;;;;;;
MW-2;469692.1803;9494126.471;M-9;13.186814;15.576924;2.39011;209.03093;;;;;;;;;;;;;;;;;;;;;;;
MW-2;469692.1803;9494126.471;M-10;15.576924;18.131869;2.554945;221.546979;;;;;;;;;;;;;;;;;;;;;;;
MW-2;469692.1803;9494126.471;M-11;18.131869;20.851649;2.71978;221.512972;;;;;;;;;;;;;;;;;;;;;;;
MW-2;469692.1803;9494126.471;M-12;20.851649;23.736265;2.884616;220.641149;;;;;;;;;;;;;;;;;;;;;;;
MW-2;469692.1803;9494126.471;M-13;23.736265;26.785715;3.04945;219.73994;;;;;;;;;;;;;;;;;;;;;;;
MW-2;469692.1803;9494126.471;M-14;26.785715;36.428571;9.642856;220.226423;;;;;;;;;;;;;;;;;;;;;;;
MW-2;469692.1803;9494126.471;M-15;36.428571;;;221.546978;;;;;;;;;;;;;;;;;;;;;;;
MW-3;469705.1235;9494066.142;M-1;0;1.071429;1.071429;168.099447;;;;;;;;;;;;;;;;;;;;;;;
MW-3;469705.1235;9494066.142;M-2;1.071429;2.307693;1.236264;169.345227;;;;;;;;;;;;;;;;;;;;;;;
MW-3;469705.1235;9494066.142;M-3;2.307693;3.708791;1.401098;162.922875;;;;;;;;;;;;;;;;;;;;;;;
MW-3;469705.1235;9494066.142;M-4;3.708791;5.274726;1.565935;157.689879;;;;;;;;;;;;;;;;;;;;;;;
MW-3;469705.1235;9494066.142;M-5;5.274726;7.005495;1.730769;170.020291;;;;;;;;;;;;;;;;;;;;;;;
MW-3;469705.1235;9494066.142;M-6;7.005495;8.9011;1.895605;185.245886;;;;;;;;;;;;;;;;;;;;;;;
MW-3;469705.1235;9494066.142;M-7;8.9011;10.961539;2.060439;199.346735;;;;;;;;;;;;;;;;;;;;;;;
MW-3;469705.1235;9494066.142;M-8;10.961539;13.186814;2.225275;201.562973;;;;;;;;;;;;;;;;;;;;;;;
MW-3;469705.1235;9494066.142;M-9;13.186814;15.576924;2.39011;201.474695;;;;;;;;;;;;;;;;;;;;;;;
MW-3;469705.1235;9494066.142;M-10;15.576924;18.131869;2.554945;209.465305;;;;;;;;;;;;;;;;;;;;;;;
MW-3;469705.1235;9494066.142;M-11;18.131869;20.851649;2.71978;208.932029;;;;;;;;;;;;;;;;;;;;;;;
MW-3;469705.1235;9494066.142;M-12;20.851649;23.736265;2.884616;208.801304;;;;;;;;;;;;;;;;;;;;;;;
MW-3;469705.1235;9494066.142;M-13;23.736265;26.785715;3.04945;208.818686;;;;;;;;;;;;;;;;;;;;;;;
MW-3;469705.1235;9494066.142;M-14;26.785715;36.428571;9.642856;209.978659;;;;;;;;;;;;;;;;;;;;;;;
MW-3;469705.1235;9494066.142;M-15;36.428571;;;210.463451;;;;;;;;;;;;;;;;;;;;;;;
