ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-1;9418319;535960;M-1;0;1;1;;;6;7.65;CL;34.5;23.1;11.4;12.7;;;;;0.61;;S2;;;;;;0;26.7;73.3
SPT-1;9418319;535960;M-2;1;2;1;;;6;7.65;CL-ML;23.7;17.5;6.2;13;;;;;0.61;;S2;;;;;;0;46.4;53.6
SPT-1;9418319;535960;M-3;2;3;1;;;13;14.84;SM;;;;4.8;;;;;1.18;;S2;;;;;;0;86;14
SPT-1;9418319;535960;M-4;3;4;1;;;13;14.16;CL-ML;25.8;20.3;5.5;18.8;;;;;1.13;;S2;;;;;;0;49;51
SPT-1;9418319;535960;M-5;4;5;1;;;14;14.83;CL;28.6;20.2;8.4;20.1;;;;;1.18;;S2;;;;;;0;47.9;52.1
SPT-1;9418319;535960;M-6;5;6;1;;;38;37.18;SM;;;;17.3;;;;;2.96;;S2;;;;;;0;81;19
SPT-1;9418319;535960;M-7;6;7;1;;;83;75.88;SC;28.6;20.4;8.2;17.7;;;;;6.04;;S2;;;;;;0;66.4;33.6
SPT-1;9418319;535960;M-8;7;8;1;;;120;103.38;SM;;;;18.1;;;;;8.24;;S2;;;;;;0;76.8;23.2
SPT-2;9418302;535979;M-1;0;1;1;;;7;8.93;CL;30.9;20.5;10.4;18.2;;;;;0.71;;S2;;;;;;0;36.6;63.4
SPT-2;9418302;535979;M-2;1;2;1;;;10;12.75;CL;32.3;22.3;10;17.6;;;;;1.02;;S2;;;;;;0;22.8;77.2
SPT-2;9418302;535979;M-3;2;3;1;;;11;12.58;SM;;;;5;;;;;1;;S2;;;;;;0;85.2;14.8
SPT-2;9418302;535979;M-4;3;4;1;;;15;16.05;SM;;;;9.5;;;;;1.28;;S4;;;;;;0;80.7;19.3
SPT-2;9418302;535979;M-5;4;5;1;;;12;12.63;SM;;;;27.9;;;;;1.01;;S3;;;;;;0;64.9;35.1
SPT-2;9418302;535979;M-6;5;6;1;;;17;16.67;SM;;;;23.2;;;;;1.33;;S2;;;;;;0;79.3;20.7
SPT-2;9418302;535979;M-7;6;7;1;;;93;85.42;CL;33.1;22.6;10.5;20.3;;;;;6.8;;S1;;;;;;0;33.4;66.6
SPT-2;9418302;535979;M-8;7;8;1;;;60;51.78;CL;29.6;21.2;8.4;15.7;;;;;4.12;;S0;;;;;;0;48.8;51.2
SPT-3;9418302;535979;M-1;0;1;1;;;;;ML;;;;;;;;;;;S1;;;;;;;;
SPT-3;9418302;535979;M-2;1;2;1;;;5;5.44;ML;;;;7.37;;;;;0.92;;S2;;;;;;0;21.1;78.9
SPT-3;9418302;535979;M-3;2;3;1;;;16;14.95;ML;15.3;12.5;2.8;8.66;;;;;1.83;;S2;;;;;;0;37.43;62.57
SPT-3;9418302;535979;M-4;3;4;1;;;15;13.09;ML;;;;5.79;;;;;1.65;;S2;;;;;;0;25.69;74.31
SPT-3;9418302;535979;M-5;4;5;1;;;15;12.61;ML;;;;7.52;;;;;1.6;;S2;;;;;;0;32.92;66.08
SPT-3;9418302;535979;M-6;5;6;1;;;15;11.8;ML;27;24.3;2.7;8.55;;;;;1.53;;S2;;;;;;0;25.96;74.04
SPT-3;9418302;535979;M-7;6;7;1;;;15;12.39;SM;;;;7.49;;;;;1.58;;S2;;;;;;0;25.2;74.8
SPT-3;9418302;535979;M-8;7;8;1;;;24;18.68;CL;22.8;15.2;7.6;7.68;;;;;2.18;;S2;;;;;;0;20.34;79.66
SPT-3;9418302;535979;M-9;8;9;1;;;48;35.34;CL;16.2;7.7;8.5;9.16;;;;;3.78;;S2;;;;;;0;35.69;64.31
SPT-3;9418302;535979;M-10;9;10;1;;;48;33.53;CL;19.1;9.7;9.4;9.71;;;;;3.6;;S2;3687;1288;1541;6.88;;0;25.76;74.24
SPT-3;9418302;535979;M-11;10;11;1;;;61;;CL;20.3;10.7;9.6;7.25;;;;;;;S2;;;;;;0;28.43;71.57
SPT-3;9418302;535979;M-12;11;12;1;;;69;;SM;;;;6.21;;;;;;;S2;7941;3436;1454;7.64;;0;61.02;38.98
SPT-3;9418302;535979;M-13;12;13;1;;;79;;SM;;;;7.99;;;;;;;S2;;;;;;0;59.13;40.87
SPT-3;9418302;535979;M-14;13;14;1;;;94;;SM;;;;6.44;;;;;;;S2;5439;4716;1529;7.29;;0;60.33;39.67
SPT-3;9418302;535979;M-15;14;15;1;;;99;;SM;;;;9.37;;;;;;;S2;;;;;;0;57.35;42.65
SPT-3;9418302;535979;M-16;15;16;1;;;50;28.1;SM;21.2;17.3;3.9;6.92;;;;;3.09;;S2;2892;4070;1378;7.13;;0;61.11;38.89
C-1;9418288;535953;M-1;0;1.9;1.3;;;;;ML;39.8;25.5;14.3;30.8;;;1.95;1.591;;;S2;7011;3572;1660;;;0;2.6;97.4
C-1;9418288;535953;M-2;1.9;5;3.1;;;;;SM;;;;7.9;;;;;;;S2;22269;3320;1860;;;0;72.7;27.3
C-2;9418288;535985;M-1;0;0.9;0.7;;;;;GP;;;;3.7;;;2.254;2.076;;;S2;;;;;;59.1;36.8;4.1
C-2;9418288;535985;M-2;0.9;5;4.1;;;;;ML;21.9;;;20.7;;;;;;;S2;;;;;;0;19.3;80.7
C-3;9418304;535984;M-1;0;1.9;1.7;;;;;SM;;;;13.4;;;;;;;S2;495;267;130;;;0.7;50.6;48.7
C-3;9418304;535984;M-2;1.9;5;3.1;;;;;SP-SM;;;;4.8;;;;;;;S2;23136;3062;2460;;;0;91.9;8.1
C-4;9418320;535958;M-1;0;1.1;0.8;;;;;CL;34.4;18.8;15.5;26.9;;;;;;;S2;;;;;;0;3;97
C-4;9418320;535958;M-2;1.1;5;3.9;;;;;SM;;;;15.1;28.55;0;1.678;1.452;;;S2;;;;;Bajo ;2.3;55.3;42.4
C-5;9418343;535989;M-1;0;1.7;1.5;;;;;CL;29.7;19.2;10.6;27.4;;;;;;;S2;;;;;;0;12.1;87.9
C-5;9418343;535989;M-2;1.7;5;3.3;;;;;SM;;;;6;28.52;0;1.665;1.376;;;S2;23193;3663;1800;;Bajo ;0;75.3;24.7
MW-1;9418317.351;535946.4986;M-1;0;1.071429;1.071429;265.722871;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418317.351;535946.4986;M-2;1.071429;2.307692;1.236263;266.372889;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418317.351;535946.4986;M-3;2.307692;3.708791;1.401099;284.003109;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418317.351;535946.4986;M-4;3.708791;5.274725;1.565934;316.686392;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418317.351;535946.4986;M-5;5.274725;7.005495;1.73077;341.620445;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418317.351;535946.4986;M-6;7.005495;8.901099;1.895604;355.776459;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418317.351;535946.4986;M-7;8.901099;10.961538;2.060439;365.775764;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418317.351;535946.4986;M-8;10.961538;13.186812;2.225274;369.539648;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418317.351;535946.4986;M-9;13.186812;15.576922;2.39011;372.12348;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418317.351;535946.4986;M-10;15.576922;18.131867;2.554945;392.083853;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418317.351;535946.4986;M-11;18.131867;20.851647;2.71978;405.692756;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418317.351;535946.4986;M-12;20.851647;23.736263;2.884616;421.103805;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418317.351;535946.4986;M-13;23.736263;26.785713;3.04945;426.343828;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418317.351;535946.4986;M-14;26.785713;36.428571;9.642858;443.360031;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418317.351;535946.4986;M-15;36.428571;;;448.025376;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418306.122;535984.6886;M-1;0;1.071429;1.071429;182.682261;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418306.122;535984.6886;M-2;1.071429;2.307692;1.236263;195.211425;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418306.122;535984.6886;M-3;2.307692;3.708791;1.401099;212.746099;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418306.122;535984.6886;M-4;3.708791;5.274725;1.565934;228.807285;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418306.122;535984.6886;M-5;5.274725;7.005495;1.73077;245.39113;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418306.122;535984.6886;M-6;7.005495;8.901099;1.895604;277.762026;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418306.122;535984.6886;M-7;8.901099;10.961538;2.060439;300.833583;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418306.122;535984.6886;M-8;10.961538;13.186812;2.225274;317.71943;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418306.122;535984.6886;M-9;13.186812;15.576922;2.39011;334.837556;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418306.122;535984.6886;M-10;15.576922;18.131867;2.554945;351.6711;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418306.122;535984.6886;M-11;18.131867;20.851647;2.71978;368.093789;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418306.122;535984.6886;M-12;20.851647;23.736263;2.884616;369.990468;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418306.122;535984.6886;M-13;23.736263;26.785713;3.04945;386.374235;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418306.122;535984.6886;M-14;26.785713;36.428571;9.642858;388.503969;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418306.122;535984.6886;M-15;36.428571;;;390.250951;;;;;;;;;;;;;;;;;;;;;;;
