ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-1;9418364;537482;M-1;0;1;1;;;6;7.65;CL;25.5;16.3;16.3;7.4;;;;;0.61;;S2;;;;;;0,0;47,6;52,4
SPT-1;9418364;537482;M-2;1;2;1;;;25;31.88;SC-SM;26.3;21.2;21.2;11.3;;;;;2.54;;S2;;;;;;0,0;79,1;20,9
SPT-1;9418364;537482;M-3;2;3;1;;;49;58.25;SC-SM;26.2;20.8;20.8;15.2;;;;;4.64;;S2;;;;;;0,0;77,2;22,8
SPT-1;9418364;537482;M-4;3;4;1;;;58;65.23;SC-SM;26;20.3;20.3;18.6;;;;;10.22;;S2;;;;;;0,0;76,0;24,0
SPT-1;9418364;537482;M-5;4;5;1;;;118;128.35;SC-SM;25.5;20.4;20.4;20.3;;;;;5.2;;S2;;;;;;0,0;62,7;37,3
SPT-2;9418389;537353;M-1;0;1;1;;;16;20.4;SC-SM;20.1;15.6;15.6;5.1;;;;;1.63;;S2;;;;;;0,0;57,2;42,8
SPT-2;9418389;537353;M-2;1;2;1;;;20;25.5;SC-SM;26.5;19.9;19.9;9;;;;;2.03;;S2;;;;;;0,0;57,4;42,6
SPT-2;9418389;537353;M-3;2;3;1;;;30;35.65;SM;;;;16.4;;;;;2.84;;S2;;;;;;0,0;78,7;21,3
SPT-2;9418389;537353;M-4;3;4;1;;;54;60.53;SM;;;;17;;;;;4.82;;S2;;;;;;0,0;74,3;25,7
SPT-2;9418389;537353;M-5;4;5;1;;;93;100.66;SM;;;;18.9;;;;;8.02;;S2;;;;;;0,0;72,6;27,4
SPT-3;9418313;537373;M-1;0;1;1;;;;;SM;;;;;;;;;;;S2;;;;;;;;
SPT-3;9418313;537373;M-2;1;2;1;;;7;31.27;SM;16.3;12.5;3.8;6.1;;;;1.6;2.33;;S2;;;;;;0;55.52;44.48
SPT-3;9418313;537373;M-3;2;3;1;;;24;50;SP-SM;;;;;;;;1.6;;;S2;;;;;;;;
SPT-3;9418313;537373;M-4;3;4;1;;;19;50;SM;;;;;;;;1.6;;;S2;;;;;;;;
SPT-3;9418313;537373;M-5;4;5;1;;;30;50;SP-SM;;;;;;;;1.6;;;S2;;;;;;;;
SPT-3;9418313;537373;M-6;5;6;1;;;29;50;SM;;;;;;;;1.6;;;S2;;;;;;;;
SPT-3;9418313;537373;M-7;6;7;1;;;37;50;SM;;;;;;;;1.6;;;S2;;;;;;;;
SPT-3;9418313;537373;M-8;7;8;1;;;33;50;SM;;;;;;;;1.6;;;S2;;;;;;;;
SPT-3;9418313;537373;M-9;8;9;1;;;41;50;SM;;;;;;;;1.6;;;S2;;;;;;;;
SPT-3;9418313;537373;M-10;9;10;1;;;31;50;SM;;;;;;;;1.6;;;S2;4923;5148;989;7.1;;;;
SPT-3;9418313;537373;M-11;10;11;1;;;50;50;SM;;;;;;;;1.6;;;S2;;;;;;;;
SPT-3;9418313;537373;M-12;11;12;1;;;50;50;SM;;;;;;;;1.6;;;S2;4236;3247;797;6.96;;;;
SPT-3;9418313;537373;M-13;12;13;1;;;33;50;SM;;;;;;;;1.6;;;S2;;;;;;;;
SPT-3;9418313;537373;M-14;13;14;1;;;38;50;SM;;;;;;;;1.6;;;S2;4815;3457;712;7.22;;;;
SPT-3;9418313;537373;M-15;14;15;1;;;46;50;SM;;;;;;;;1.6;1.61;;S2;;;;;;;;
SPT-3;9418313;537373;M-16;15;16;1;;;39;50;SM;;;;;;;;1.6;;;S2;3339;4823;837;7.32;;;;
C-1;9418278;537331;M-1;0;0.75;0.75;;;;;CL-ML;23.7;16.9;6.8;8.3;;;2.137;1.941;;;S2;5847;4111;686;;;0,4;34,8;64,8
C-1;9418278;537331;M-2;0.75;3.4;2.65;;;;;SM;;;;8.8;;;;;;;S2;6921;4140;580;;;0,4;87,3;12,3
