ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);Densidad húmeda (gr/cm3);Densidad seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-1;9455293;537375;M-1;0;1;1;;;22;28.05;SC;36.4;23.1;13.3;6.8;;;;;2.23;;S2;;;;;;5.9;47.9;46.2
SPT-1;9455293;537375;M-2;1;2;1;;;38;48.45;SC;34.2;21.9;12.3;9.5;;;;;3.86;;S2;;;;;;5.1;59.9;35
SPT-1;9455293;537375;M-3;2;3;1;;;95;110.56;SM; ; ; ;14.7;;;;;8.81;;S2;;;;;;1.8;63;35.2
SPT-1;9455293;537375;M-4;3;4;1;;;105;115;SM; ; ; ;14.8;;;;;9.16;;S2;;;;;;0;68.1;31.9
SPT-2;9455263;537415;M-1;0;1;1;;;20;25.5;SC;39.4;23.2;16.1;7.9;;;;;2.03;;S2;;;;;;0;59.4;40.6
SPT-2;9455263;537415;M-2;1;2;1;;;55;70.13;SC;37.5;23;14.5;8.7;;;;;5.59;;S2;;;;;;12.3;51.6;36.1
SPT-2;9455263;537415;M-3;2;3;1;;;46;52.47;SC;39.1;22.1;17;9.4;;;;;4.18;;S2;;;;;;9;49.7;41.3
SPT-2;9455263;537415;M-4;3;4;1;;;87;92.4;SC;38.6;23.6;15;8.5;;;;;7.36;;S2;;;;;;21.1;34.2;44.7
SPT-3;9455281;537412;M-1;0;1;1;;;;;GM;;;;;;;;;;;S2;;;;;;;;
SPT-3;9455281;537412;M-2;1;2;1;;;52;58;GM; ; ; ;5.74;;;;;3.65;;S2;;;;;;41.78;37.85;20.37
SPT-3;9455281;537412;M-3;2;3;1;;;63;65;GM; ; ; ;9.09;;;;;;;S2;;;;;;49.64;37.51;12.85
SPT-3;9455281;537412;M-4;3;4;1;;;71;73;GM;18.15;14.59;3.57;5.67;;;;;;;S2;;;;;;43.1;41.67;15.23
SPT-3;9455281;537412;M-5;4;5;1;;;65;69;GM;14.27;11.41;2.85;5.97;;;;;;;S2;;;;;;37.83;34.86;27.31
SPT-3;9455281;537412;M-6;5;6;1;;;100;100;GM; ; ; ;8.43;;;;;;;S2;876;420;187;7.21;;45.88;38.21;15.92
SPT-4;9455306;537377;M-1;0;1;1;;;;;GM;;;;;;;;;;;S2;;;;;;;;
SPT-4;9455306;537377;M-2;1;2;1;;;44;49;GM;16.97;11.53;2.79;10.23;;;;;;;S2;1176;383;195;6.95;;47.13;35.9;16.97
SPT-4;9455306;537377;M-3;2;3;1;;;75;78;GM;14.75;13.8;2.08;6.33;;;;;;;S2;750;457;157;7.14;;45.53;39.72;14.75
SPT-4;9455306;537377;M-4;3;4;1;;;85;89;GM;13.76;14.65;3.87;7.98;;;;;;;S2;387;329;125;7.33;;47.13;39.11;13.76
C-1 ;9455247;537447;M-1;0;1;1;;;;;SP-SM;;;;6.4;;;1.991;1.792;;;S2;402;214;130;;;1;88.9;10.1
C-1 ;9455247;537447;M-2;1;2.9;1.9;;;;;SC;45.3;16.3;29;10.1;;;;;;;S2;;;;;;3.2;71.9;24.9
