ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-1;9464236;509645;M-1;0;1;1;-;-;17;21.68;SM;NP ;NP ;NP ;3.2;-;-;-;-;1.73;-;S2;-;-;-;-;-;4.8;80.3;14.9
SPT-1;9464236;509645;M-2;1;2;1;-;-;31;39.53;SM;NP ;NP ;NP ;5.3;-;-;-;-;3.15;-;S2;-;-;-;-;-;6.7;78.8;14.5
SPT-1;9464236;509645;M-3;2;3;1;-;-;48;53.5;SM;NP ;NP ;NP ;5.4;29.57;0.02;-;-;4.26;-;S2;-;-;-;-;-;1,7;74,9;23,4
SPT-1;9464236;509645;M-4;3;4;1;-;-;36;37.28;SM;NP ;NP ;NP ;4.9;28.74;0.01;-;-;2.97;-;S2;-;-;-;-;-;3,6;60,6;35,8
SPT-1;9464236;509645;M-5;4;5;1;-;-;33;33.38;SM;NP ;NP ;NP ;18.5;-;-;-;-;2.66;-;S2;-;-;-;-;-;7,4;53,2;39,4
SPT-1;9464236;509645;M-6;5;6;1;-;-;36;33.94;SM;NP ;NP ;NP ;19.7;-;-;-;-;2.7;-;S2;-;-;-;-;-;20,8;39,5;39,7
SPT-1;9464236;509645;M-7;6;7;1;-;-;65;57.85;ML;NP ;NP ;NP ;24.2;-;-;-;-;4.61;-;S2;-;-;-;-;-;4,2;28,5;67,3
SPT-1;9464236;509645;M-8;7;8;1;-;-;59;50.05;ML;NP ;NP ;NP ;29.2;-;-;-;-;3.99;-;S2;-;-;-;-;-;8,8;37,6;53,6
SPT-1;9464236;509645;M-9;8;9;1;-;-;75;60.95;ML;NP ;NP ;NP ;30.3;-;-;-;-;4.86;-;S2;-;-;-;-;-;0,0;34,8;65,2
SPT-1;9464236;509645;M-10;9;10;1;-;-;117;91.54;ML;NP ;NP ;NP ;33.3;-;-;-;-;7.29;-;S2;-;-;-;-;-;0,0;18,6;81,4
SPT-2;9464193;509634;M-1;0;1;1;-;-;40;51;SC;32.3;20.8;11.6;4;-;-;-;-;4.06;-;S2;-;-;-;-;-;7,2;73,5;19,3
SPT-2;9464193;509634;M-2;1;2;1;-;-;27;34.43;SC;32.3;20.8;11.6;4.3;-;-;-;-;2.74;-;S2;-;-;-;-;-;5,8;78,3;15,9
SPT-2;9464193;509634;M-3;2;3;1;-;-;38;43.18;CL;32.3;20.8;11.6;12.4;-;-;-;-;3.44;-;S2;-;-;-;-;-;0,0;44,3;55,7
SPT-2;9464193;509634;M-4;3;4;1;-;-;35;37.5;SC;32.3;20.8;11.6;12.7;-;-;-;-;2.99;-;S2;-;-;-;-;-;16,5;54,9;28,6
SPT-2;9464193;509634;M-5;4;5;1;-;-;33;33.82;SP-SM;NP ;NP ;NP ;9.3;-;-;-;-;2.69;-;S2;-;-;-;-;-;6,6;81,9;11,5
SPT-2;9464193;509634;M-6;5;6;1;-;-;49;46.12;SP-SM;NP ;NP ;NP ;10.4;-;-;-;-;3.67;-;S2;-;-;-;-;-;4,7;83,9;11,4
SPT-2;9464193;509634;M-7;6;7;1;-;-;42;36.93;SM;NP ;NP ;NP ;14;-;-;-;-;2.94;-;S2;-;-;-;-;-;10,7;62,0;27,3
SPT-2;9464193;509634;M-8;7;8;1;-;-;56;46.37;SM;NP ;NP ;NP ;13.8;-;-;-;-;3.69;-;S2;-;-;-;-;-;9,3;65,8;24,9
SPT-2;9464193;509634;M-9;8;9;1;-;-;71;55.81;SM;NP ;NP ;NP ;15.4;-;-;-;-;4.45;-;S2;-;-;-;-;-;7,2;51,9;40,9
SPT-2;9464193;509634;M-10;9;10;1;-;-;77;57.65;SM;NP ;NP ;NP ;13.5;-;-;-;-;4.59;-;S2;-;-;-;-;-;7;68.8;24.2
SPT-3;9464221;509636;M-1;1;2;1;-;-;11;31;SM;NP ;NP ;- ;12.24;-;-;-;-;2.33;-;S2;-;-;-;-;-;4.37;70.78;24.85
SPT-3;9464221;509636;M-2;2;3;1;-;-;7;18;SM;NP ;NP ;- ;8.33;-;-;-;-;-;-;S2;-;-;-;-;-;0;79.41;20.59
SPT-3;9464221;509636;M-3;3;4;1;-;-;31;R;SM;17.66;14.23;3.43;11.37;-;-;-;-;-;-;S2;2985;1918;646;7.03;-;0;77.13;22.87
SPT-3;9464221;509636;M-4;4;5;1;-;-;47;R;SM;NP ;NP ;- ;3.89;-;-;-;-;2.63;-;S2;-;-;-;-;-;14.21;47.33;38.47
SPT-3;9464221;509636;M-5;5;6;1;-;-;30;R;SM;20.27;17.97;2.3;5.27;-;-;-;-;1.53;-;S2;3879;1971;730;7.45;-;6.65;54.45;38.9
SPT-4;9464221;509646;M-1;1;2;1;-;-;8;25.04;SM;NP;NP;-;10.97;-;-;-;-;1.86;-;S2;1296;1041;754;7.06;-;0;74.96;25.01
SPT-4;9464221;509646;M-2;2;3;1;-;-;50;R;SM;NP;NP;-;9.23;-;-;-;-;-;-;S2;3405;996;707;7.29;-;14.79;65.69;19.52
C-1;9464203;509677;M-1;0;1.15;1.15;-;-;-;-;SM;NP;NP;NP;8;-;-;2.351;2.073;2.74;-;S2;-;-;-;-;-;2;66.3;29.7
C-1;9464203;509677;M-2;1.15;3.2;2.05;-;-;-;-;SW-SM;NP;NP;NP;2.7;-;-;2.264;2.054;-;-;S2;-;-;-;-;-;2.3;92.6;5.1
C-1;9464203;509677;M-3;3.2;4;0.8;-;-;-;-;SM;NP;NP;NP;4.9;29.57;0.02;1.625;1.582;-;-;S2;-;-;-;-;Bajo ;0;69.8;30.2
C-1;9464203;509677;M-4;4;5;1;-;-;-;-;SP;NP;NP;NP;1.8;28.74;0.01;1.624;1.595;-;-;S2;-;-;-;-;-;4.2;91.4;4.4
C-2;9464217;509619;M-1;0;0.8;0.8;-;-;-;-;SM;NP;NP;NP;3.9;-;-;-;-;-;-;S2;-;-;-;-;-;9.3;75.8;14.9
C-2;9464217;509619;M-2;0.8;3.8;3;-;-;-;-;SW-SM;NP;NP;NP;2.3;-;-;-;-;-;-;S2;-;-;-;-;-;5.3;87.1;7.6
C-2;9464217;509619;M-3;3.8;4.1;0.3;-;-;-;-;SP;NP;NP;NP;1.3;-;-;-;-;-;-;S2;-;-;-;-;-;7.9;91.1;1
C-2;9464217;509619;M-4;4.1;5;0.9;-;-;-;-;SP;NP;NP;NP;2.5;-;-;-;-;-;-;S2;-;-;-;-;-;24.7;74;1.3
C-3;9464239;509652;M-1;0;3.8;3.8;-;-;-;-;SP-SM;NP;NP;NP;2.2;-;-;-;-;-;-;S2;-;-;-;-;-;7.6;86.3;6.1
C-3;9464239;509652;M-2;3.8;5;1.2;-;-;-;-;SW;NP;NP;NP;1.6;-;-;-;-;-;-;S2;3282;1576;780;-;-;14.6;82;3.4
C-4;9464241;509674;M-1;0;0.4;0.4;-;-;-;-;SM;NP;NP;NP;7.9;-;-;-;-;-;-;S2;-;-;-;-;-;0.9;74.7;24.4
C-4;9464241;509674;M-2;0.4;2.4;2;-;-;-;-;SW-SM;NP;NP;NP;3.3;-;-;-;1.659;-;-;S2;-;-;-;-;-;2.7;91.1;6.2
C-4;9464241;509674;M-3;2.4;2.7;0.3;-;-;-;-;CL;40.1;17.4;22.7;8.5;-;-;-;-;-;-;S2;-;-;-;-;-;2;39.4;58.6
C-4;9464241;509674;M-4;2.7;5;2.3;-;-;-;-;SW;NP;NP;NP;3.2;-;-;-;-;-;-;S2;-;-;-;-;-;5.2;91.1;3.7
MW-1;9464201.885;509645.6615;M-1;0;1.071429;1.071429;264.005725;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
