ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-1;9457280;535017;M-1;0;1;1;-;-;16;20.4;CL ;40.4;24;16.4;20.8;-;-;-;-;1.73;3.05;S1;-;-;-;-;-;0;15.8;84.2
SPT-1;9457280;535017;M-2;1;2;1;-;-;14;17.85;CL ;35.5;21.5;14;20.3;-;-;-;-;1.52;3.15;S1;-;-;-;-;-;1.1;30;68.9
SPT-1;9457280;535017;M-3;2;3;1;-;-;50;59.74;SC ;30.3;20;10.3;22.2;-;-;-;-;5.07;2.78;S1;-;-;-;-;-;5;47.5;47.5
SPT-1;9457280;535017;M-4;3;3.3;0.3;-;-;30;33.38;GC ;32.6;22.4;10.2;11.9;-;-;-;-;2.83;4.39;S1;-;-;-;-;-;47.6;28;14.4
SPT-2;9457272;535033;M-1;0;1;1;-;-;13;16.58;SC ;34.2;20.7;13.5;10.2;-;-;-;-;1.41;2.74;S1;-;-;-;-;-;0;67.9;32.1
SPT-2;9457272;535033;M-2;1;2;1;-;-;27;34.43;SC ;29.6;21.5;8.1;9.6;-;-;-;-;2.92;-;S1;-;-;-;-;-;9.9;63.7;26.4
SPT-2;9457272;535033;M-3;2;3;1;-;-;45;53.77;SC ;29.9;20.4;9.5;108;-;-;-;-;4.57;-;S1;-;-;-;-;-;29.3;31.7;39
SPT-2;9457272;535033;M-4;3;4;1;-;-;40;44.5;SC ;28.5;20.6;7.9;9.7;-;-;-;-;3.78;-;S1;-;-;-;-;-;38;42.6;19.4
SPT-2;9457272;535033;M-5;4;4.85;0.85;-;-;70;74.37;GC ;27;19.7;7.3;11.2;-;-;-;-;6.32;-;S1;-;-;-;-;-;57;27.4;15.6
SPT-03;9457274;535018;M-1;1;2;1;-;-;21;24;SM ;23.09;10.9;12.19;12.64;-;-;-;-;2.07;-;S1;-;-;-;-;-;0;79.8;20.2
SPT-03;9457274;535018;M-2;2;3;1;-;-;27;28;SM ;NP;NP;-;16.88;-;-;-;-;2.36;-;S1;-;-;-;-;-;0;52.52;47.48
SPT-03;9457274;535018;M-3;3;4;1;-;-;67;R;SM ;18.21;15.27;2.94;12.24;-;-;-;-;-;-;S1;-;-;-;-;-;0;55.34;44.66
