ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-1;9457777;535988;M-1;0;1;1;-;-;15;19.13;SC;23.7;16.5;7.2;16.1;-;-;-;-;1.52;-;S2;-;-;-;-;-;5.2;65.1;29.7
SPT-1;9457777;535988;M-2;1;2;1;-;-;18;22.95;SC;23.8;16.3;7.5;12.7;-;-;-;-;1.83;-;S2;-;-;-;-;-;37.1;42.1;20.8
SPT-1;9457777;535988;M-3;2;3;1;-;-;31;35.94;SC;23.2;15.4;7.8;12.3;-;-;-;-;2.86;-;S2;-;-;-;-;-;23.8;44.5;31.7
SPT-1;9457777;535988;M-4;3;4;1;-;-;86;92.75;SC;27.3;19.3;8;9.5;-;-;-;-;7.39;-;S2;-;-;-;-;-;24.8;39.4;24.8
SPT-1;9457777;535988;M-5;4;5;1;-;-;82;84.63;SC;32.8;21.4;11.4;10.8;-;-;-;-;6.74;-;S2;-;-;-;-;-;38.8;40.7;20.5
SPT-1;9457777;535988;M-6;5;6;1;-;-;65;62.11;GC;30.2;20.6;9.6;17.2;-;-;-;-;4.95;-;S2;-;-;-;-;-;51.3;32.5;16.2
SPT-1;9457777;535988;M-7;6;7;1;-;-;65;57.97;SC;32.8;21.2;11.6;15.4;-;-;-;-;4.62;-;S2;-;-;-;-;-;21.1;59.7;19.2
SPT-2;9457768;535993;M-1;0;1;1;-;-;13;16.58;SC;24.6;17;7.6;14.4;-;-;-;-;1.32;-;S2;-;-;-;-;-;0;59.5;40.5
SPT-2;9457768;535993;M-2;1;2;1;-;-;32;40.8;SC;23.1;15.5;7.6;15.3;-;-;-;-;3.25;-;S2;-;-;-;-;-;27;42;31
SPT-2;9457768;535993;M-3;2;3;1;-;-;34;40.68;CL;38.2;23.7;14.5;20;-;-;-;-;3.24;-;S2;-;-;-;-;-;0;34.2;65.8
SPT-2;9457768;535993;M-4;3;4;1;-;-;90;99.38;SC;28.1;19.4;8.7;9.4;-;-;-;-;7.92;-;S2;-;-;-;-;-;36.6;47.4;16
SPT-2;9457768;535993;M-5;4;5;1;-;-;128;133.23;GC;26.5;20.8;5.7;6.1;-;-;-;-;10.61;-;S2;-;-;-;-;-;57.2;30.8;12
SPT-3;9457781;535989;M-1;1;2;1;-;-;35;85;SC;19.56;9.45;10.11;0;-;-;-;-;-;-;S2;1098;638;198;7.22;-;0;67.87;32.13
SPT-3;9457781;535989;M-2;2;3;1;-;-;50;100;GC;16.87;7.95;8.92;0;-;-;-;-;-;-;S2;1491;708;239;7.1;-;39.18;37.43;23.38
SPT-4;9457778;535989;M-1;1;2;1;-;-;18;50;SC;21.64;11.4;10.24;0;-;-;-;-;3.72;-;S2;1029;712;193;7.13;-;0;52.77;47.23
SPT-4;9457778;535989;M-2;2;3;1;-;-;33;62;GC;18.54;7.4;11.14;0;-;-;-;-;-;-;S2;996;1144;205;7.42;-;46.2;40.73;13.07
C-1;9457772;535973;M-1;0.6;1;0.4;-;-;-;-;SC-SM;21.4;15.5;5.9;5.7;-;-;2.229;2.04;-;-;S2;-;-;-;-;-;0,0;72,8;27,2
C-1;9457772;535973;M-2;1;1.7;0.7;-;-;-;-;SC-SM;24.9;15.8;9.1;9.5;-;-;-;-;-;-;S2;1026;457;220;-;-;0,0;63,4;36,6
C-1;9457772;535973;M-3;1.7;2.8;1.1;-;-;-;-;GW-GC;26.8;15.6;11.2;6.9;-;-;-;-;-;-;S2;-;-;-;-;-;66,3;26,1;7,6
C-1;9457772;535973;M-4;2.8;3.7;0.9;-;-;-;-;SM;NP;NP;NP;13.3;-;-;-;-;-;-;S2;-;-;-;-;-;2,7;66,0;31,3
C-1;9457772;535973;M-5;3.7;4.4;0.7;-;-;-;-;CL;21.1;21.1;7.2;21.2;26.72;0.07;1.76;1.441;-;-;S2;-;-;-;-;-;2,8;45,9;51,3
C-1;9457772;535973;M-6;4.4;5;0.6;-;-;-;-;GP-GC;15.9;15.9;15.7;7.3;29.44;0.04;1.76;1.639;-;-;S2;-;-;-;-;-;71,7;21,6;6,7
C-2;9457789;536002;M-1;0;1.8;1.8;-;-;-;-;SC-SM;15.7;15.7;9.7;6.1;-;-;-;-;-;-;S2;-;-;-;-;-;0.8;58.9;40.3
C-2;9457789;536002;M-2;1.8;2.3;0.5;-;-;-;-;GP-GC;17;17;7.5;9.5;-;-;-;-;-;-;S2;-;-;-;-;-;52.6;35.8;11.6
C-2;9457789;536002;M-3;2.3;2.7;0.4;-;-;-;-;CL;19.1;19.1;16;21.5;-;-;-;-;-;-;S2;-;-;-;-;-;2.8;33.8;63.4
