ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-1;9413193;534358;M-1;0;1;1;-;-;4;5.1;CL;33.3;23;10.3;22.3;-;-;-;-;0.41;-;S2;-;-;-;-;-;0,0;15,0;85,0
SPT-1;9413193;534358;M-2;1;2;1;-;-;10;12.75;CL;32.6;21.2;11.4;18.3;-;-;-;-;1.02;-;S2;-;-;-;-;-;0,0;23,7;76,3
SPT-1;9413193;534358;M-3;2;3;1;-;-;29;34.99;SM;NP;NP;NP;19.5;-;-;-;-;2.79;-;S2;-;-;-;-;-;0,0;57,4;42,6
SPT-1;9413193;534358;M-4;3;4;1;-;-;18;20.48;SM;NP;NP;NP;19.6;-;-;-;-;1.63;-;S2;-;-;-;-;-;0,0;81,8;18,2
SPT-1;9413193;534358;M-5;4;5;1;-;-;14;15.37;SM ;NP;NP;NP;21.2;-;-;-;-;1.22;-;S2;-;-;-;-;-;0,0;83,0;17,0
SPT-1;9413193;534358;M-6;5;6;1;-;-;14;14.18;SC-SM;27;21.6;5.3;21.5;-;-;-;-;1.13;-;S2;-;-;-;-;-;0,0;56,4;43,6
SPT-1;9413193;534358;M-7;6;7;1;-;-;34;32.1;SC-SM;27.2;21.5;5.7;20.3;-;-;-;-;2.56;-;S2;-;-;-;-;-;0,0;62,0;38,0
SPT-1;9413193;534358;M-8;7;8;1;-;-;90;79.82;SM;NP;NP;NP;19.7;-;-;-;-;6.36;-;S2;-;-;-;-;-;0,0;73,7;26,3
SPT-2;9413054;534343;M1;0;1;1;-;-;10;12.75;SM;NP;NP;NP;6.2;-;-;-;-;1.02;-;S2;-;-;-;-;-;0,0;70,1;29,9
SPT-2;9413054;534343;M2;1;2;1;-;-;4;5.1;ML;NP;NP;NP;15.3;-;-;-;-;0.41;-;S2;-;-;-;-;-;0,0;44,3;55,7
SPT-2;9413054;534343;M3;2;3;1;-;-;14;17.23;SM;NP;NP;NP;19;-;-;-;-;1.37;-;S2;-;-;-;-;-;0,0;62,5;37,5
SPT-2;9413054;534343;M4;3;4;1;-;-;12;13.88;SM;NP;NP;NP;20.1;-;-;-;-;1.11;-;S2;-;-;-;-;-;0,0;72,2;27,8
SPT-2;9413054;534343;M5;4;5;1;-;-;18;19.99;SM;NP;NP;NP;19.9;-;-;-;-;1.59;-;S2;-;-;-;-;-;0,0;84,5;15,5
SPT-2;9413054;534343;M6;5;6;1;-;-;33;33.68;SM;NP;NP;NP;19.8;-;-;-;-;2.68;-;S2;-;-;-;-;-;0,0;78,7;21,3
SPT-2;9413054;534343;M7;6;7;1;-;-;122;115.73;CL;26.5;19;7.6;18.9;-;-;-;-;9.22;-;S2;-;-;-;-;-;0,0;47,9;52,1
