ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-1;9452597;583236;M-1;0;1;1;-;-;23;29.33;SC;30.6;17.4;13.2;7.6;-;-;-;-;2.34;-;S2;-;-;-;-;-;0;22.7;77.3
SPT-1;9452597;583236;M-2;1;2;1;-;-;46;58.65;SC;33.6;17.9;15.7;11.2;-;-;-;-;4.67;-;S2;-;-;-;-;-;0;22;78
SPT-1;9452597;583236;M-3;2;3;1;-;-;30;34.89;SC;29.1;17.5;11.6;11.9;-;-;-;-;2.78;-;S2;-;-;-;-;-;0;37.4;62.6
SPT-1;9452597;583236;M-4;3;4;1;-;-;100;108.02;SC;27.2;16.4;10.8;8.7;-;-;-;-;8.6;-;S2;-;-;-;-;-;4.7;57.4;37.9
SPT-1;9452597;583236;M-5;4;5;1;-;-;96;99.05;GC;33.4;18.6;14.8;9.6;-;-;-;-;7.89;-;S2;-;-;-;-;-;0;71.4;28.6
SPT-1;9452597;583236;M-6;5;5.85;0.85;-;-;60;56.72;SC;27.5;18;9.5;9.7;-;-;-;-;4.52;-;S2;-;-;-;-;-;4.7;57.4;37.9
SPT-2;9452541;583212;M-1;0;1;1;-;-;12;15.3;CL-ML;22.9;16.5;6.4;11.3;-;-;-;-;1.22;-;S2;-;-;-;-;-;0;39.7;60.3
SPT-2;9452541;583212;M-2;1;2;1;-;-;29;36.98;CL;24.1;16.3;7.8;8.4;-;-;-;-;2.95;-;S2;-;-;-;-;-;0;39.1;60.9
SPT-2;9452541;583212;M-3;2;3;1;-;-;27;30.59;SC;25.1;17.3;7.8;7.9;-;-;-;-;2.44;-;S2;-;-;-;-;-;0.5;57.5;42
SPT-2;9452541;583212;M-4;3;4;1;-;-;50;52.66;SC;23.2;15.7;7.5;6.7;-;-;-;-;4.19;-;S2;-;-;-;-;-;0;64.2;35.8
SPT-2;9452541;583212;M-5;4;5;1;-;-;107;107.55;SM;19.3;NP ;NP ;6.9;-;-;-;-;8.57;-;S2;-;-;-;-;-;0;69.7;30.3
SPT-2;9452541;583212;M-6;5;5.85;0.85;-;-;54;49.82;SM;19.5;NP ;NP ;8.4;-;-;-;-;3.97;-;S2;-;-;-;-;-;0.7;78;21.3
C-1;9452575;583190;M-1;0;0.6;0.6;-;-;-;-;CL;29.7;16.4;13.3;15.1;-;-;-;-;-;-;S2;384;202;130;6.5;-;0,0;32,0;68,0
C-1;9452575;583190;M-2;0.6;1.9;1.3;-;-;-;-;CL;26.6;12.6;14.1;6.8;-;-;2.018;1.705;-;-;S2;-;-;-;-;-;0,0;26,8;73,2
C-1;9452575;583190;M-3;1.9;3.6;1.7;-;-;-;-;SM;NP;NP;NP;4.9;28.27;0;1.682;1.59;-;-;S2;-;-;-;-;-;0,0;74,5;25,5
